timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,-0.2825144,0.3136388,10.0627785,-0.3053435,-0.1221374,0.7557252
10,-0.2657550,0.3064562,9.9957409,-0.1832061,0.0992366,0.6030535
20,-0.2130829,0.3064562,9.9526453,-0.4274809,0.0610687,0.1603053
30,-0.2489957,0.3112446,9.9550400,-0.5343512,-0.3969466,-0.1755725
40,-0.2274480,0.2681492,9.9694052,-0.2290076,-0.6641222,-0.6488550
50,-0.2920911,0.2633608,10.0340481,-0.0152672,-1.0381680,-0.5190840
60,-0.4046180,0.2657550,10.0316534,0.4045801,-1.3282443,-0.5419847
70,-0.4237715,0.2418131,10.0220766,0.5496183,-1.2824427,-0.1526718
80,-0.3639168,0.2585725,9.9741936,0.7251908,-1.4580153,0.1908397
90,-0.2992737,0.2657550,9.9310980,1.4274809,-2.1374047,0.2900763
100,-0.3303981,0.2442073,9.9694052,1.4656489,-2.3816793,0.4274809
110,-0.2801202,0.2705434,9.9430685,1.5038168,-1.9312977,0.3358779
120,-0.3663110,0.2992737,9.9430685,1.1984733,-2.6641221,0.3053435
130,-0.2729376,0.2992737,9.9478569,1.0610687,-3.1450381,0.1450382
140,-0.3208214,0.2059003,9.9430685,0.7022901,-2.8091602,0.4809160
150,-0.3112446,0.3112446,9.9885588,0.8778626,-3.3740458,0.5725191
160,-0.3184272,0.2753318,9.9023676,1.1145039,-4.7557254,0.7022901
170,-0.3974355,0.2920911,9.9741936,1.0534351,-4.9465647,1.3511450
180,-0.3423691,0.2801202,9.9837704,1.3435115,-5.5038166,1.9389313
190,-0.3088504,0.3351865,9.9071560,1.0305344,-5.1832061,2.3511450
200,-0.3256098,0.4046180,9.9215212,1.2824427,-5.3664122,2.7251909
210,-0.1508339,0.3543400,9.9406748,0.8702290,-5.3435116,3.0152671
220,-0.1628049,0.3543400,9.8401184,0.6946565,-5.1145039,2.8091602
230,-0.1412572,0.4237715,9.8760319,0.4961832,-4.6641221,2.4732823
240,-0.1053443,0.3878587,9.8496952,0.7099237,-4.3969464,2.2290077
250,-0.0885850,0.4525018,9.8927908,0.1908397,-4.3206105,2.0763359
260,-0.0814024,0.3830703,9.8927908,0.0152672,-3.5725191,1.6641221
270,-0.0407012,0.5051740,9.8951855,-0.4885496,-4.9694657,-1.1068702
280,-0.0239419,0.5434810,9.9813757,-0.1679389,-9.3435116,-3.8473282
290,-0.1556223,0.5386927,10.1585455,1.7709924,-15.7480917,-7.5648856
300,-0.2537841,0.4261657,10.3309278,4.1832061,-22.9312973,-11.1374044
310,-0.3806761,0.3998296,10.5272512,7.3282442,-29.9389305,-14.4503813
320,-0.5291159,0.3064562,10.5272512,10.3129768,-34.3435097,-15.6030531
330,-0.5746055,0.1987177,10.5679522,12.1755724,-37.3587799,-15.2748089
340,-0.5123565,0.1556223,10.5009146,13.7251911,-39.4351158,-14.2519083
350,-0.5051740,0.2106887,10.4554253,15.5572519,-41.5954208,-13.1832066
360,-0.3471575,0.1580165,10.1489687,16.4732819,-44.2213745,-12.1145039
370,-0.3447633,0.0359128,9.7802639,16.0534344,-49.4274826,-10.6412210
380,-0.5051740,0.0718257,9.6533718,15.2671757,-56.9771004,-10.0076332
390,-0.9720409,0.1221037,8.7747040,13.3358774,-57.8015251,-8.8244276
400,-1.2449785,0.0167593,8.5352850,6.6641221,-62.3435097,-3.5648854
410,-0.2968795,0.1077385,9.8736372,-2.4503818,-92.1755753,3.9160306
420,-0.2944853,0.1723816,10.3381100,-1.6106870,-111.1145020,5.8167939
430,-0.2944853,0.2729376,10.3381100,0.3664122,-129.8244324,8.7862597
440,-0.5626345,0.6536137,9.7658987,0.0000000,-143.1984711,13.0229006
450,-0.6153067,0.8427547,9.4690189,-3.6946564,-155.5496216,18.0305347
460,-0.4118006,1.2114599,9.5049324,-8.2519083,-165.7862549,22.8396950
470,-0.1149211,1.2952565,9.7946291,-11.3358774,-173.9313049,26.1374054
480,-0.3303981,1.2617378,9.7922344,-11.8396950,-184.0152740,28.7251911
490,-0.6392486,1.0582317,9.8065996,-12.8702288,-194.0610657,34.8396950
500,-0.8451489,0.8427547,9.8425131,-16.3511448,-197.6641235,44.4503822
510,-1.0390782,0.7158626,10.2040358,-22.5801525,-185.8244324,56.3664131
520,-1.4987626,0.6464311,10.9749641,-29.9694653,-159.0763397,71.9389343
530,-2.0685797,0.4165890,11.8033543,-37.3282433,-113.5038147,88.9465637
540,-3.2991931,0.1125269,12.7370882,-44.8396950,-61.1068687,110.5267181
550,-3.5649481,-0.7398046,14.3483772,-47.1679382,-20.7404575,132.2519073
560,-3.2920105,-1.0271072,16.4241390,-38.7404594,11.3664122,152.3893127
570,-2.8873925,-1.8554969,17.1735210,-22.6641216,33.7022896,167.6259613
580,-2.5761478,-2.4971397,17.2046452,-5.6564884,41.2290077,178.4503784
590,-2.5833304,-2.9568241,17.1088772,10.7175570,28.8015270,185.9541931
600,-2.4109488,-3.3327117,17.2022514,28.6870232,2.8549619,194.1679382
610,-1.6304430,-3.8618276,17.1447906,47.2137413,-26.8778629,204.3740387
620,-0.2944853,-4.2281384,17.0322647,62.3969460,-47.5038185,216.6030579
630,2.1954718,-4.6758518,17.4823723,73.9923630,-50.8931313,231.2519073
640,5.9543490,-4.4196739,18.4400463,84.2748108,-27.0229015,242.8778687
650,9.4594421,-4.0773048,18.9093075,93.7251892,14.3587790,244.2442780
660,11.7099810,-3.6894460,19.0840836,102.0687027,53.2519073,235.7099304
670,13.0483322,-3.6271970,18.8614254,109.5343475,78.4351120,220.6183167
680,13.6923695,-3.4308734,18.5214500,122.1679382,87.2671738,199.4656525
690,14.0514975,-3.4859397,17.6403885,135.8702240,79.8320618,174.4732819
700,14.1807842,-3.5745249,16.4025917,147.7251892,62.7862587,146.8473358
710,14.4106264,-3.7301471,15.5718079,158.0229034,40.4503822,117.2366409
720,14.4944229,-3.6415622,14.8703108,167.8320618,17.8244267,85.5496216
730,14.1975431,-3.4428444,14.1520538,176.5648804,-0.4198473,52.2290077
740,13.6373034,-3.3231349,13.5104113,183.3664093,-11.1603050,21.7633591
750,12.9286232,-3.5649481,12.8974981,189.1145020,-14.6793890,-4.5419846
760,11.9015160,-3.9192882,12.0571384,193.7862549,-12.5572519,-26.6183205
770,10.7690639,-4.3813667,11.1018562,197.7786255,-8.0839691,-43.0076332
780,9.7012558,-4.7333126,10.2854376,201.6946564,-3.9770992,-52.9923668
790,8.9829988,-4.8338685,9.3517036,205.2519073,-0.7938932,-58.8320618
800,8.4036045,-4.6423335,8.5927458,207.8015289,1.4580153,-61.9847336
810,8.1665802,-4.4388270,7.6590118,210.0534363,1.5572519,-64.3358765
820,8.0899658,-3.9408360,6.8952656,211.4427490,1.3053435,-66.6030502
830,8.4467001,-3.1723011,5.9950504,210.6870270,1.3358779,-70.0610657
840,9.2798786,-2.2936335,5.0325861,206.6335907,1.8702290,-78.0000000
850,9.5839405,-1.4317253,4.2808108,199.7175598,0.2671756,-91.9923630
860,9.6437950,-0.7733232,3.6056492,191.9847260,-3.4274809,-108.7938919
870,9.1912937,-0.6368544,2.8395088,183.7328186,-11.2061071,-126.2824402
880,8.5759869,-0.5147507,2.5043221,175.3816833,-26.4580154,-142.1068726
890,8.2982607,-0.4932030,2.0973101,168.0381622,-45.6564903,-156.9923706
900,8.0779953,-0.5793939,1.6807210,161.5419922,-66.3587799,-172.1603088
910,8.1258793,-0.4501076,1.1875180,154.4045868,-89.7022934,-187.7786255
920,7.9439206,-0.3064562,0.7158626,144.6793823,-110.6793900,-203.1221313
930,7.7260494,-0.2968795,0.3399749,134.0152740,-126.4732819,-217.9313049
940,7.5656385,-0.1508339,-0.4094064,120.5572510,-143.3893127,-232.8320618
950,7.3286138,-0.0454896,-1.0558375,101.2748108,-154.9618378,-247.8015289
960,6.9982157,-0.1412572,-1.4125718,82.3816757,-161.1984711,-250.1374054
970,6.4954362,-0.4070122,-1.6088953,61.4885483,-162.3282471,-250.1374054
980,5.4036856,-0.9768293,-1.3622938,41.5114517,-156.9770966,-250.1374054
990,4.0533628,-1.3551112,-0.9433106,24.7099228,-147.2061005,-250.1374054
1000,2.5091105,-1.6519908,-0.3423691,12.1908398,-138.3511505,-250.1374054
1010,0.6967092,-1.8602852,0.2705434,4.7786260,-130.3129730,-250.1374054
1020,-1.4796091,-1.7597293,0.6057299,0.2824427,-126.0152664,-250.1374054
1030,-3.8043671,-1.5179161,0.7254394,-3.2671757,-125.7404556,-246.3053436
1040,-5.6670465,-1.0271072,0.6679789,-7.1145039,-130.5877838,-219.0305328
1050,-6.8090749,-0.4668669,0.3232156,-12.7480917,-136.2748108,-187.2366486
1060,-7.6398587,0.1053443,-0.2896969,-21.7633591,-142.4274750,-153.2671814
1070,-7.8625183,0.6153067,-0.8283895,-34.7480927,-147.9084015,-118.6488571
1080,-7.3980455,1.0917504,-1.3096216,-52.6412201,-146.1297760,-87.5267181
1090,-6.9814563,1.3168042,-1.3311694,-75.9542007,-133.2290039,-59.7099228
1100,-6.8138633,1.3551112,-1.2258250,-102.3129807,-111.9923630,-33.9618340
1110,-6.5241661,1.2497669,-0.9792235,-131.0458069,-86.0076370,-9.6183205
1120,-6.3326311,1.0462608,-0.5171449,-160.0229034,-61.1679382,11.7022905
1130,-6.1171541,0.5051740,0.1699875,-187.6106873,-40.1145020,31.0992374
1140,-6.0884237,0.0454896,1.3598996,-210.6870270,-24.9847336,49.4503822
1150,-6.1722202,-0.0502780,2.8969693,-226.0534363,-16.0534344,66.9923630
1160,-5.7891502,-0.0502780,4.4100971,-234.8625946,-11.4122133,80.6564865
1170,-5.4515696,0.0311245,5.8537931,-236.5954132,-12.2213745,90.0457993
1180,-4.9056940,-0.1053443,7.0556765,-232.3969421,-17.4427490,96.1603088
1190,-4.1491303,-0.2633608,7.7332320,-226.9847260,-22.7404575,97.8931274
1200,-3.5817075,-0.2418131,8.2072811,-222.0534363,-26.8396950,100.9007645
1210,-2.8897867,-0.3878587,8.6286592,-219.5954132,-28.1221371,100.8091583
1220,-2.3989778,0.1149211,9.1721401,-218.8473358,-25.7328243,97.5419846
1230,-1.9799947,0.2394189,9.7994175,-221.0992432,-17.6030540,92.9007645
1240,-2.0326669,0.3806761,10.4913378,-226.4580078,-2.0152671,84.1755753
1250,-2.4612267,0.1340746,11.3508520,-234.2366486,17.8625946,74.9160309
1260,-3.2465210,-0.8882443,12.1744537,-241.3206177,38.0839691,66.2519073
1270,-4.6279683,-2.1595588,13.0148134,-248.8702240,49.4351158,61.0687027
1280,-6.5457139,-3.2321558,14.8703108,-250.1374054,45.9618340,62.4198456
1290,-8.1163025,-3.8642218,17.3698444,-240.2824402,29.8015270,67.5267181
1300,-9.3636751,-4.3837609,19.6126022,-218.3358765,8.9541988,77.0687027
1310,-10.5368280,-4.8625989,19.6126022,-191.6870270,-10.8396950,97.8244247
1320,-10.5847120,-5.0852585,19.6126022,-166.4809113,-18.9541988,128.2366486
1330,-9.6605549,-5.0541339,19.6126022,-146.3358765,-13.6564884,161.8320618
1340,-8.2024927,-5.0661049,19.6126022,-136.5648804,3.6564887,193.6946564
1350,-6.5217719,-5.0445571,19.6126022,-133.5648804,27.1679382,220.7557220
1360,-4.8147149,-5.0541339,19.6126022,-132.5572510,53.7404594,240.0381622
1370,-3.3351059,-5.4850879,19.6126022,-130.4122162,71.5954208,249.4427490
1380,-2.3008161,-5.6167684,19.6126022,-123.6717529,68.4274826,250.1297760
1390,-1.4149660,-5.8801293,19.6126022,-107.8015289,47.8167953,243.2290039
1400,-0.5267217,-6.1841912,19.6126022,-86.2519073,18.2671757,232.1526642
1410,0.1436514,-6.4403696,19.6126022,-65.4122162,-10.0992365,223.2671814
1420,1.4197544,-6.5552907,19.6126022,-47.5877876,-27.8015270,217.8549652
1430,2.8179610,-6.6821828,19.6126022,-31.4045811,-30.2900772,212.3740387
1440,3.9144998,-6.9024482,19.6126022,-16.7404575,-19.6106873,206.9618378
1450,4.9535780,-6.9934273,19.6126022,-1.7404580,-1.2824427,201.1908417
1460,5.9806852,-6.8641410,19.6126022,15.2366409,19.1297703,192.3129730
1470,6.3062949,-6.6558466,19.6126022,32.3129768,37.6793900,182.5954132
1480,6.4068508,-6.6558466,19.6126022,46.7862587,45.7328262,172.9084015
1490,6.4283986,-6.7085190,19.6126022,62.6946564,42.4656487,162.5496216
1500,6.7061248,-6.7061248,19.6126022,82.4961853,34.0839691,150.6183167
1510,6.8952656,-6.5959921,19.6126022,103.7099228,24.7251911,137.3664093
1520,6.7468257,-6.6510582,19.6126022,129.5725250,14.8091602,124.3435135
1530,6.8401995,-6.8473821,19.2061882,155.5725250,5.4961834,112.7557220
1540,7.1562324,-6.8809004,18.2054157,179.9694672,2.0610688,101.8473282
1550,7.7954807,-6.7348547,16.6156750,201.9618378,3.5954199,89.1832047
1560,8.3796635,-6.3398137,14.6452570,218.2977142,8.7099237,75.5496216
1570,8.2958660,-5.9663200,12.9549589,227.2442780,10.9236641,60.8015251
1580,7.9846220,-5.4491754,11.6644907,232.4961853,8.4122133,47.6946564
1590,7.6542239,-5.2241216,10.7235746,237.8167877,0.5877863,35.6946564
1600,7.6039457,-5.0349803,9.7491398,243.6259613,-11.0992365,25.3893127
1610,7.6805596,-4.5705075,8.8656836,249.7480927,-25.6259537,13.5267172
1620,8.0109577,-4.2041965,7.7954807,250.1297760,-42.5267181,0.2061069
1630,8.3365679,-3.4667864,6.6678176,250.1297760,-59.0687027,-15.8931293
1640,8.4969788,-2.9352763,5.4850879,250.1297760,-74.9694672,-33.1755714
1650,8.5831690,-2.1691356,4.3526363,250.1297760,-89.3206100,-50.9160309
1660,8.7387915,-1.4772149,3.1675127,246.9084015,-98.9847336,-69.6717529
1670,8.5640154,-0.8379663,2.0470319,235.3129730,-103.8015289,-87.9389343
1680,8.1809454,-0.3471575,1.3934183,220.9236603,-104.5343475,-104.5496216
1690,7.5033898,-0.0957676,0.6919208,204.6564941,-103.0610657,-118.4885483
1700,6.6869712,0.1292862,0.0287303,186.4351196,-96.9542007,-128.6641235
1710,5.8490047,0.2753318,-0.5219333,166.9084015,-88.4274826,-135.0458069
1720,5.0972295,0.4237715,-0.8762733,147.0763397,-80.3129807,-138.6946564
1730,4.6686692,0.7158626,-1.1994889,128.1984711,-73.8167953,-141.7099304
1740,4.1227942,0.7924767,-1.5298871,109.0610657,-68.0457993,-144.7480927
1750,3.5386121,0.9983770,-1.8100072,88.9236679,-62.0992355,-147.1526642
1760,2.7964132,1.2330076,-1.8171898,69.9465637,-55.5419846,-148.7404633
1770,2.2409613,1.3670821,-1.9823889,49.0992355,-48.5419846,-149.5801544
1780,1.5777708,1.3527170,-1.9129574,30.2595425,-43.0763359,-149.9770966
1790,0.9528874,1.4029950,-1.9919657,9.9083967,-40.4045792,-150.7938995
1800,0.3495516,1.6065011,-1.8770446,-10.0152674,-38.9236641,-152.1984711
1810,-0.2825144,1.5274929,-1.3814473,-27.5877857,-39.8702278,-153.6488495
1820,-0.9145803,1.1587877,-1.0749911,-43.4122124,-44.0534363,-155.6335907
1830,-1.6639616,0.9385223,-0.6655847,-58.8778610,-52.2061081,-157.9084015
1840,-2.3582766,0.6967092,0.0311245,-71.6183243,-65.6564865,-161.0534363
1850,-3.0669568,0.3687052,0.6320660,-81.2748108,-82.9770966,-163.7099304
1860,-3.6152260,-0.0526722,1.1755470,-90.4045792,-99.5877838,-164.4198456
1870,-4.3646073,-0.3854645,1.7908537,-99.7480927,-110.9542007,-161.6641235
1880,-4.8218975,-0.6129125,2.4396791,-108.7938919,-118.7557220,-156.1984711
1890,-5.2863703,-0.9026094,3.1315999,-116.2061081,-126.9312973,-149.0381622
1900,-5.9280128,-0.8283895,3.9623835,-122.9007645,-134.1068726,-138.2366486
1910,-6.2919297,-0.8092360,4.4819226,-130.0152740,-137.6641235,-125.2290039
1920,-6.6175399,-0.8666966,5.0086441,-137.8167877,-145.5114441,-113.3969498
1930,-6.5672617,-1.0678085,5.9519548,-143.6717529,-161.5496216,-102.8625946
1940,-6.1841912,-1.4125718,7.1729918,-147.2671814,-174.2442780,-94.1603088
1950,-6.0453281,-1.8171898,8.5448618,-148.1679382,-181.0763397,-85.9694672
1960,-6.0429344,-1.8602852,9.7587166,-148.9541931,-174.8549652,-75.7557220
1970,-6.3733325,-1.7262106,10.3117743,-152.4045868,-152.7328186,-63.1603050
1980,-6.8617468,-1.6519908,10.5272512,-161.5190887,-122.4580154,-48.0687027
1990,-7.4842362,-1.8171898,11.3532467,-174.3129730,-92.3740463,-31.0076332
2000,-8.2671366,-1.9297167,12.6173782,-183.0458069,-65.8931274,-11.2442751
2010,-9.0907373,-2.2194135,13.5989962,-185.2519073,-45.2519073,12.2366409
2020,-9.3349447,-2.3391230,14.1113529,-183.1145020,-33.3816795,37.1526718
2030,-9.0763721,-2.0709739,14.3244352,-181.0305328,-22.1603050,62.1679382
2040,-8.5975342,-1.8746504,14.4561157,-181.9313049,-10.3053436,83.6946564
2050,-7.8553357,-1.8578910,14.8056679,-184.1221313,-0.4580153,98.1984711
2060,-7.3286138,-1.9225341,15.5670195,-185.0610657,7.3129773,109.8167953
2070,-6.9144192,-2.2481439,16.6156750,-182.4198456,7.0381680,116.4503784
2080,-6.7252784,-2.9472473,17.6188393,-174.7557220,-1.3816794,122.2671738
2090,-6.8521700,-3.6655040,18.5932751,-164.0763397,-10.4809160,133.1374054
2100,-7.0700417,-4.2879934,19.3833580,-154.3358765,-11.7938929,152.4656525
2110,-6.7540083,-5.1403246,19.6126022,-145.1984711,-7.0458016,177.7557220
2120,-6.0980005,-6.0692701,19.6126022,-133.1832123,-3.3435113,206.0686951
2130,-4.9799142,-6.5481081,19.6126022,-115.7328262,-2.2366412,233.0763397
2140,-3.2225790,-7.0580707,19.6126022,-94.3740463,-0.4809160,250.1297760
2150,-1.0797794,-7.3453732,19.6126022,-71.5572510,6.8854961,250.1297760
2160,1.2090657,-7.2735476,19.6126022,-48.9771004,17.0687027,250.1297760
2170,3.2728570,-7.0413113,19.6126022,-28.7786255,26.9618320,250.1297760
2180,5.0565281,-6.6821828,19.6126022,-10.3053436,32.7786255,250.1297760
2190,6.4930420,-6.0884237,19.6126022,8.1679392,32.3664131,250.1297760
2200,7.9343438,-5.7460546,19.6126022,26.6641216,28.2748089,247.7404633
2210,9.0069408,-5.3845320,19.6126022,43.9771004,23.2900772,222.5954132
2220,9.4546537,-5.1115947,19.6126022,61.7786255,16.0534344,196.1145020
2230,9.5073261,-4.8003497,19.6126022,83.6870193,6.3206105,169.6488495
2240,9.8975792,-4.5369892,19.4456062,109.1832047,0.1832061,144.9770966
2250,10.0915089,-4.1012464,18.1503506,134.3053436,-2.6717558,121.7404556
2260,10.3572636,-3.5290353,16.4744167,153.5496216,-2.7480917,98.7862625
2270,10.4769726,-3.1268115,14.7841196,166.5648804,2.1908398,76.3511429
2280,10.5057030,-2.5929072,13.2135315,174.9389343,8.1221371,54.7099228
2290,10.3500814,-2.1547706,11.7339230,178.4809113,12.1755724,32.5267181
2300,9.7994175,-1.7501525,10.4362717,179.8473358,12.4274807,11.3969469
2310,9.2200232,-1.5203103,9.0667953,179.2061005,9.0839691,-6.9389315
2320,8.6933022,-1.3431402,8.2000990,177.3435059,3.0000000,-23.4503822
2330,8.1881275,-1.1204807,7.1658092,174.8091583,-6.3129773,-38.6259537
2340,7.9008250,-0.7924767,6.1578555,170.5190887,-15.5801525,-52.4351158
