timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,0.6991033,1.3910241,10.1848822,-2.2824428,-0.8167939,-0.0229008
10,0.7685348,1.3263810,10.0196829,-0.8015267,-0.3511450,-0.0992366
20,0.7278336,1.3982066,9.9119444,-0.6488550,0.1145038,0.0305344
30,0.6607963,1.4484847,9.9598284,-0.8015267,0.5343512,-0.3282443
40,0.6488253,1.4149660,9.9047613,-0.9770992,0.4732825,-0.3129771
50,0.6200951,1.4053892,9.9550400,-1.1526718,0.2595420,-0.1145038
60,0.4908088,1.3766589,10.1034794,-1.1068702,0.4656489,0.1297710
70,0.4860204,1.3335636,10.0244713,-0.5038168,0.4122137,0.8396947
80,0.4620786,1.2880739,10.1513634,0.3587786,0.7099237,1.4809160
90,0.5051740,1.3790531,9.9789820,1.1908396,0.4961832,2.4656489
100,0.4644727,1.3790531,9.9119444,1.6717557,0.1832061,3.4122138
110,0.5865764,1.3383518,9.7802639,2.0534351,0.1450382,4.2824426
120,0.6177009,1.4029950,9.7299862,1.3893130,0.6641222,4.7328243
130,0.6895266,1.4987626,9.6605549,0.4351145,1.6183206,4.6564884
140,0.7230452,1.5777708,9.6892843,-0.1068702,2.7251909,4.3587785
150,0.6871324,1.5466464,9.5623922,-0.8473282,3.3206108,3.9465649
160,0.6081241,1.4891858,9.5959110,-1.4732825,3.2824428,3.8931298
170,0.5578461,1.4652439,9.6222477,-2.1755726,3.0381680,3.9770992
180,0.5027798,1.4556671,9.5959110,-2.7404580,3.2900763,4.4885497
190,0.3830703,1.4365137,9.7371683,-3.4122138,4.1526718,4.7480917
200,0.4165890,1.4197544,9.7299862,-3.1068702,5.0000000,5.2137403
210,0.1987177,1.4173602,9.5743637,-3.5038168,6.4656487,5.9312978
220,0.0814024,1.4436963,9.4259243,-4.7633586,8.2442751,7.0458016
230,-0.6991033,1.2042773,9.2272062,-9.9465647,-0.9923664,13.2977095
240,-0.8116302,1.0869620,9.1673517,-10.7099237,-4.9694657,13.6946564
250,-0.8595140,0.9840119,9.0883436,-11.6259546,-8.3053436,14.0458012
260,-1.0654143,0.7996593,9.2104464,-12.1450386,-10.8854961,14.9847326
270,-1.3575054,0.6655847,8.9470863,-12.9007635,-13.3129768,17.4503822
280,-1.6926919,0.4908088,8.7842808,-14.4732828,-17.0534344,20.6946564
290,-1.9273225,0.4955972,8.7340031,-16.7404575,-21.3206100,26.3587780
300,-1.8938038,0.3591284,8.8130112,-20.5114498,-23.3969460,33.7862587
310,-1.5538290,0.3184272,9.2487535,-24.3435116,-22.8931293,42.8396950
320,-0.9816177,0.5003856,9.6246414,-25.7404575,-18.5572510,51.4427490
330,-0.3974355,0.6775556,9.6318245,-26.5190830,-13.2137403,58.1450386
340,0.1364688,0.8666966,9.3253679,-27.7328243,-7.8167939,62.2900772
350,0.4357425,1.2689204,8.8082228,-30.4503822,-4.8854961,64.5725174
360,0.7685348,1.5610116,8.4275465,-34.5343513,-3.5725191,64.2748108
370,1.1276633,1.9345051,7.9127960,-39.8854980,-2.6717558,61.3969460
380,1.1156923,2.1092808,7.5919747,-45.8244286,-4.6183205,55.6259537
390,0.8499373,2.2625091,7.2950954,-50.7862587,-12.1755724,48.0992355
400,0.5075682,2.2601149,6.9431496,-57.1755714,-20.1297703,40.4732819
410,0.0861908,2.1930776,6.7779503,-69.2366409,-22.5572510,33.1374054
420,-0.7589580,2.0470319,7.1370788,-84.2137375,-18.8091602,28.2137413
430,-1.8531027,1.3048333,7.6518297,-98.7251892,-13.0992365,26.4732819
440,-3.2153964,0.3710994,8.4131813,-113.5038147,-8.2213745,29.1526718
450,-4.6040263,-0.5219333,9.7754755,-125.9923630,-3.7404580,36.4045792
460,-5.8178802,-1.1372399,11.8105364,-131.5190887,0.9770992,48.8854980
470,-6.9670911,-1.7166338,13.9317884,-127.1450348,7.9312978,63.5038185
480,-8.1809454,-2.3463056,15.1408539,-113.3587799,12.8244276,81.8549652
490,-9.5528164,-2.8419030,15.2677460,-97.6412201,11.7175570,103.2748108
500,-10.3452930,-3.2656744,15.0235386,-82.7557220,1.6183206,129.4503784
510,-10.1561518,-3.8737986,14.3890781,-70.9694672,-10.3053436,156.9923706
520,-9.3564920,-4.6830344,13.6564569,-66.9694672,-17.5419846,185.7938995
530,-8.0851774,-5.6119800,13.7594070,-71.4351120,-16.7251911,213.7480927
540,-6.5050125,-6.4499464,14.7936964,-77.7862625,-6.4427481,238.7709961
550,-4.8386569,-7.2567883,16.1871147,-77.3129807,4.5648856,250.1297760
560,-3.1675127,-7.9558916,17.1280308,-70.8015289,15.4961834,250.1297760
570,-1.7597293,-8.3437500,17.7098198,-61.4198456,20.7328243,250.1297760
580,-0.6105183,-8.7220325,18.3682213,-48.1374054,16.3129768,250.1297760
590,0.5027798,-9.2319946,19.0290184,-30.8396950,3.5496182,250.1297760
600,1.6926919,-9.5192976,19.6126022,-11.0229006,-12.9389315,250.1297760
610,3.0334380,-9.8185711,19.6126022,11.9236641,-26.3740463,250.1297760
620,4.3693957,-9.8903971,19.6126022,37.6641235,-33.0076332,246.4732819
630,5.3821378,-9.7180147,19.6126022,63.9541969,-35.9389305,231.8702240
640,5.7963328,-9.5360565,19.6126022,89.6335907,-40.5190849,215.7938995
650,5.7723908,-9.2080526,18.9667683,112.4732819,-49.8396950,200.2977142
660,6.1315193,-8.9255381,18.0354290,132.7938995,-60.7786255,185.6412201
670,6.4523406,-8.5233145,17.2381649,152.1526642,-71.6259537,169.1832123
680,6.5050125,-8.0708122,16.2014809,169.4351196,-83.4427490,151.2748108
690,6.5217719,-7.7452030,15.2845058,186.1526642,-96.5648880,133.4122162
700,6.5026188,-7.4555058,14.4106264,201.8931274,-109.7938919,115.5801544
710,6.5121951,-7.0724359,13.3643656,217.1145020,-122.8854980,97.7786255
720,6.7827387,-6.6941538,12.5910425,231.1145020,-134.7480927,81.2137375
730,7.2615767,-6.3469963,11.9110928,243.5801544,-145.1526642,63.4809151
740,8.0516596,-5.8418221,11.4992924,250.1297760,-151.1603088,44.6412201
750,8.6214762,-5.3629842,11.0132713,250.1297760,-153.9084015,23.9312973
760,9.0907373,-4.9416070,10.5511932,250.1297760,-156.0839691,2.4809160
770,9.9885588,-4.5944495,10.0340481,250.1297760,-159.4198456,-21.0610695
780,11.2646618,-4.0485744,9.7347746,250.1297760,-163.4122162,-48.0305328
790,11.9110928,-3.6846576,8.9734221,250.1297760,-166.4503784,-81.0305328
800,11.4777441,-3.5218527,7.5991573,250.1297760,-174.2137451,-114.5572510
810,10.4266949,-3.4619980,5.9543490,250.1297760,-192.3511505,-144.8854980
820,9.1721401,-3.1627243,3.9671719,250.1297760,-215.8549652,-168.9465637
830,8.4586716,-2.5833304,2.1116750,250.1297760,-243.7175598,-188.1450348
840,8.4754305,-1.6376256,0.7613522,250.1297760,-250.1374054,-207.0076294
850,8.9949694,-0.7900825,0.0502780,250.1297760,-250.1374054,-229.5419922
860,9.0596132,-0.1987177,-0.2274480,250.1297760,-250.1374054,-250.1374054
870,8.8154058,-0.1795642,-0.2011119,250.1297760,-250.1374054,-250.1374054
880,9.0117292,-0.1628049,0.0861908,250.1297760,-250.1374054,-250.1374054
890,8.6166878,-0.3208214,-0.5051740,237.3587799,-250.1374054,-250.1374054
900,7.6973190,-0.6655847,-1.3622938,215.1068726,-250.1374054,-250.1374054
910,6.1075773,-1.0103480,-2.0542145,186.4351196,-250.1374054,-250.1374054
920,4.3741841,-1.3263810,-2.7437410,154.5801544,-250.1374054,-250.1374054
930,2.3510940,-1.2545552,-2.7078283,122.6488571,-250.1374054,-250.1374054
940,0.6129125,-0.9840119,-2.7150109,93.4580154,-241.3282471,-250.1374054
950,-0.1508339,-0.4692611,-2.9903426,64.7251892,-217.6870270,-250.1374054
960,-0.6464311,0.1484398,-3.3303175,35.1374054,-189.1374054,-250.1374054
970,-1.5514348,0.4860204,-3.7205703,5.3511453,-155.8015289,-250.1374054
980,-2.5953014,0.7398046,-3.7253587,-24.8549614,-124.1755753,-230.3511505
990,-3.4811516,0.8930327,-3.6942344,-52.9160309,-99.4503784,-206.3129730
1000,-3.9767487,1.1085097,-3.6559272,-78.6335907,-80.7557220,-181.8015289
1010,-4.3454537,1.2832855,-3.4811516,-102.4580154,-69.6412201,-159.5038147
1020,-4.4124913,1.2354017,-3.1986370,-124.0610657,-68.5648880,-140.4580078
1030,-4.3837609,1.2473727,-2.7437410,-142.2366486,-77.8396912,-124.5877838
1040,-4.3957319,1.1923064,-2.0135133,-156.5801544,-92.0305328,-111.7328262
1050,-4.2712340,1.0247130,-1.6088953,-169.2671814,-106.0076370,-100.8015289
1060,-4.1706781,0.6081241,-1.3311694,-183.4732819,-119.3129807,-92.7022934
1070,-4.4340386,0.2274480,-0.6991033,-197.9923706,-131.6870270,-84.9236679
1080,-4.6303625,-0.3615226,0.1173153,-211.4885559,-143.4885559,-75.7709961
1090,-4.9463954,-0.8475431,0.8930327,-225.0076294,-149.6412201,-63.6793900
1100,-5.2720051,-1.1037214,1.6591733,-238.7557220,-149.7251892,-49.5496178
1110,-5.5018473,-1.4700323,2.4205256,-250.1374054,-142.9847260,-34.7709923
1120,-5.6862001,-1.7525467,3.2560976,-250.1374054,-129.9847260,-19.9083977
1130,-6.0477223,-2.1595588,4.4436154,-250.1374054,-114.3053436,-4.5419846
1140,-6.5888095,-2.7365584,5.7412663,-250.1374054,-98.4732819,12.0458012
1150,-7.3884687,-3.2656744,7.1873569,-250.1374054,-81.6183243,32.2748108
1160,-8.0660238,-3.5434003,8.6549950,-250.1374054,-67.3282471,54.7709923
1170,-8.2551651,-3.7229645,9.8856087,-250.1374054,-54.7099228,79.0534363
1180,-7.8984308,-4.0342093,10.8480721,-250.1374054,-45.0305328,100.3358765
1190,-6.9551206,-4.3574247,11.4801388,-250.1374054,-35.7862587,119.3664093
1200,-5.7005649,-4.7907729,11.6237898,-250.1374054,-24.6488552,131.7328186
1210,-4.4723458,-5.1259594,11.9661589,-250.1374054,-14.8702288,136.9847260
1220,-3.7349355,-5.3677726,12.7155399,-250.1374054,-5.1679387,135.9541931
1230,-3.1842721,-5.5545197,13.5798426,-250.1374054,4.2366414,130.3511505
1240,-3.2082138,-5.8513989,14.3364067,-250.1374054,8.5572519,120.7404556
1250,-4.0485744,-6.0644817,15.1767673,-250.1374054,6.1679387,111.4045792
1260,-5.1977854,-6.0357518,16.0530396,-250.1374054,-2.8625953,105.4503784
1270,-6.4260044,-6.2536230,16.7114429,-250.1374054,-14.7099237,105.7557220
1280,-7.3908629,-6.4858594,17.9731808,-243.9236603,-34.8473282,112.4274826
1290,-7.9175844,-6.5648675,19.5533447,-224.7862549,-53.3587799,124.6183243
1300,-8.0875721,-6.6773944,19.6126022,-201.9160309,-60.1450386,142.9694672
1310,-7.9558916,-6.6366930,19.6126022,-179.3587799,-53.9160309,164.7938995
1320,-7.3908629,-6.6055689,19.6126022,-158.4580078,-37.7786255,188.3587799
1330,-6.7564025,-6.5337429,19.6126022,-142.0076294,-17.8473282,209.5038147
1340,-6.4643116,-6.7707677,18.7872047,-134.5801544,-2.9694657,229.1679382
1350,-6.1698260,-6.9431496,17.3147774,-136.7175598,1.7557251,248.4045868
1360,-5.5784616,-7.1610208,16.9053726,-143.0229034,0.6870229,250.1297760
1370,-4.8889351,-7.4650826,16.8886127,-147.9694672,2.5038168,250.1297760
1380,-4.0030847,-8.1474266,16.7018661,-153.8931274,11.5954199,250.1297760
1390,-3.0118904,-8.7914639,16.5893383,-162.3816833,24.6030540,250.1297760
1400,-1.9488702,-9.4666252,16.7593269,-171.0381622,43.6564903,250.1297760
1410,-1.1659702,-10.2016411,16.9580441,-178.7633514,64.0229034,250.1297760
1420,-0.6129125,-10.6972389,17.6547527,-183.3435059,76.9847336,250.1297760
1430,-0.0646431,-11.1736822,18.7058029,-179.3587799,77.5267181,250.1297760
1440,0.5458752,-11.3269100,19.6126022,-163.5572510,67.2977066,250.1297760
1450,1.1109039,-11.2574787,19.6126022,-135.6030579,45.4503822,250.1297760
1460,1.8626794,-11.0850973,19.6126022,-95.3206100,13.8549614,250.1297760
1470,2.0829449,-10.8672256,19.6126022,-45.0610695,-23.0229015,250.1297760
1480,2.2289903,-10.5464048,19.6126022,6.9160304,-58.3740463,245.9770966
1490,2.3965836,-10.0723553,19.6126022,57.3740463,-88.2977066,224.4045868
1500,2.2553265,-9.7826586,19.6126022,101.6106873,-111.0610657,205.7862549
1510,2.0685797,-9.5192976,19.2756195,137.0076294,-127.8778610,192.0458069
1520,1.7597293,-9.3014259,18.1240139,164.9389343,-138.5496216,182.9770966
1530,1.5681942,-9.0787668,17.3147774,190.4961853,-148.1984711,176.7633514
1540,1.4221486,-9.0931320,16.4911766,216.0992432,-160.7557220,172.7328186
1550,1.7357874,-9.0236998,15.4042149,242.8473358,-177.8091583,168.8473358
1560,2.4851687,-9.0739784,14.5494890,250.1297760,-198.5267181,162.9389343
1570,3.8977404,-8.6310530,13.4673157,250.1297760,-218.4198456,153.5496216
1580,5.7771792,-8.0612354,12.6030130,250.1297760,-232.5648804,138.3893127
1590,8.3174143,-7.0293403,11.7626524,250.1297760,-237.8549652,112.3206100
1600,10.8265247,-5.7508430,11.2263546,250.1297760,-234.0686951,75.9160309
1610,12.4952745,-4.4388270,10.4530315,250.1297760,-228.5267181,28.5343513
1620,12.5096397,-3.8426740,9.4091644,250.1297760,-233.3587799,-23.3206100
1630,11.5280218,-3.7732425,8.1905222,250.1297760,-250.1374054,-74.2213745
1640,10.1154509,-4.0198441,6.9814563,250.1297760,-250.1374054,-119.5648880
1650,8.4419117,-4.1539187,5.1427188,250.1297760,-250.1374054,-158.9236603
1660,7.2328463,-3.6870518,2.8538737,250.1297760,-250.1374054,-193.3816833
1670,6.7755561,-2.8227494,0.6679789,250.1297760,-250.1374054,-224.7099304
1680,6.0932121,-1.9560528,-0.7493813,250.1297760,-250.1374054,-250.1374054
1690,5.9208307,-1.3694763,-1.3479286,250.1297760,-250.1374054,-250.1374054
1700,5.3965030,-0.8906385,-2.2864509,250.1297760,-250.1374054,-250.1374054
1710,4.5393834,-0.6440369,-3.6176202,250.1297760,-250.1374054,-250.1374054
1720,3.8139439,-0.3112446,-4.7309184,250.1297760,-250.1374054,-250.1374054
1730,3.4428444,0.2466015,-5.6598639,232.1145020,-250.1374054,-250.1374054
1740,3.2824337,0.5075682,-6.4355812,166.3893127,-250.1374054,-250.1374054
1750,2.7245877,0.7733232,-6.9646969,101.3816757,-225.2748108,-244.8778687
1760,1.6950861,0.8858501,-6.8952656,40.6183205,-137.9389343,-223.3129730
1770,0.2753318,1.1204807,-6.4954362,-8.5267172,-70.5343475,-199.5496216
1780,-1.0031654,1.5897418,-6.1770086,-47.2366409,-28.7938938,-174.9541931
1790,-2.0805507,1.9249283,-5.8202744,-76.6335907,-10.6030531,-151.7480927
1800,-2.5976956,2.0470319,-5.5521255,-99.1755753,-14.9389315,-130.1297760
1810,-2.5857246,2.2002602,-5.0325861,-117.1908417,-38.6030540,-111.3511429
1820,-2.0159075,2.2409613,-4.1156116,-129.8473358,-72.3740463,-98.9312973
1830,-1.1779412,2.3127871,-2.9687948,-137.8320618,-109.9236679,-92.7557220
1840,-0.3303981,2.2577207,-1.9440818,-142.6259613,-142.3511505,-90.9618301
1850,-0.1173153,2.1763182,-1.3598996,-148.0915985,-165.8931274,-90.6335907
1860,-0.2873027,2.0470319,-0.8786675,-157.6793823,-179.1526642,-90.6488571
1870,-0.6919208,1.6879035,-0.4094064,-171.7251892,-184.4732819,-89.0839691
1880,-1.1899122,1.2330076,0.0790083,-188.1297760,-183.3435059,-85.3053436
1890,-1.7956421,0.6799498,0.6224893,-207.1908417,-175.4045868,-78.5114517
1900,-2.4540441,-0.0646431,1.3000449,-227.3893127,-161.9465637,-67.8549652
1910,-3.0094962,-0.6919208,2.1858950,-246.3053436,-144.1679382,-53.7251892
1920,-3.7038112,-1.0007712,3.1866663,-250.1374054,-119.8625946,-36.5419846
1930,-4.4220681,-1.0630201,3.9240766,-250.1374054,-85.7862625,-16.0839691
1940,-5.1211715,-1.1851238,3.9647777,-250.1374054,-45.6030540,4.2213740
1950,-6.0453281,-1.6376256,3.9073172,-250.1374054,-11.5496187,23.3053436
1960,-6.9048424,-2.8706331,4.0102673,-250.1374054,8.2290077,42.8091621
1970,-6.8138633,-4.3167233,4.6088147,-250.1374054,12.1679392,61.4427490
1980,-5.9256191,-5.6574697,6.2943239,-250.1374054,3.3358779,73.4274826
1990,-4.8099265,-6.7085190,9.1362267,-250.1374054,-9.4580154,78.5496216
2000,-3.7085996,-7.4363523,12.3276815,-250.1374054,-17.5801525,78.8778610
2010,-3.3686244,-7.6254935,15.0522690,-250.1374054,-10.1679392,75.2824402
2020,-4.0485744,-7.4626884,16.9819851,-250.1374054,16.5725193,71.4122162
2030,-6.0764527,-7.5608501,18.0569763,-250.1374054,44.3511467,73.3129807
2040,-8.1186962,-7.7763271,19.3354740,-250.1374054,46.1679382,84.0916061
2050,-9.0667953,-7.6254935,19.6126022,-250.1374054,19.3358784,98.2824402
2060,-9.2200232,-7.1610208,19.6126022,-250.1374054,-8.1679392,116.9542007
2070,-9.0907373,-7.1155310,19.6126022,-237.1526642,-17.7480907,140.9694672
2080,-8.6262646,-7.1203194,19.6126022,-212.4045868,-8.6946564,169.5038147
2090,-8.0923605,-7.0772243,19.6126022,-199.1374054,13.6946564,198.7709961
2100,-7.5967631,-7.2304521,19.2229462,-197.2977142,40.8015251,226.6564941
2110,-7.2711535,-7.5800037,17.5182838,-204.7175598,63.3740463,250.1297760
2120,-6.5576849,-8.1115141,16.5270901,-216.2290039,77.5419846,250.1297760
2130,-6.0525107,-8.5448618,16.3187962,-224.9236603,74.3511429,250.1297760
2140,-5.7532372,-9.1242561,16.8766422,-228.3587799,56.9694672,250.1297760
2150,-4.5154414,-9.6581602,17.9779682,-225.1832123,39.1526718,250.1297760
2160,-3.3925664,-10.1369982,18.7321377,-215.4274750,32.1068687,250.1297760
2170,-2.5569944,-10.7307568,19.1008434,-204.3053436,31.7022896,250.1297760
2180,-2.0230901,-11.3843708,19.4216652,-190.7480927,30.9236641,250.1297760
2190,-1.7429699,-11.8249016,19.6126022,-170.6030579,18.8854961,250.1297760
2200,-1.8100072,-12.1864243,19.6126022,-144.1679382,-1.9541985,250.1297760
2210,-1.7693061,-12.3276815,19.6126022,-113.1374054,-27.3587780,250.1297760
2220,-1.3718705,-12.7131462,19.6126022,-81.4961853,-50.1145020,250.1297760
2230,-0.9193687,-12.9022865,19.6126022,-48.3282433,-71.5343475,250.1297760
2240,-0.1867468,-13.1033993,19.6126022,-12.2442751,-91.0687027,250.1297760
2250,0.3591284,-13.1919842,19.6126022,26.5190830,-110.1603088,250.1297760
2260,1.0438666,-13.1488886,19.6126022,67.2824402,-129.7404633,250.1297760
2270,1.7022687,-13.2207146,19.6126022,109.8167953,-151.0000000,250.1297760
2280,2.3295465,-13.0315733,18.8973370,149.4732819,-173.7862549,250.1297760
2290,3.1603301,-12.9669304,17.9444504,185.2519073,-193.0915985,250.1297760
2300,3.8761928,-12.7251167,17.2860470,221.8473358,-214.0534363,250.1297760
2310,5.0493455,-12.4521790,16.0817699,250.1297760,-240.3511505,250.1297760
2320,7.4698710,-11.7578640,14.3699255,250.1297760,-250.1374054,250.1297760
