timestamp,acclX,acclY,acclZ,gyroX,gyroY,gyroZ
0,1.8842272,0.6153067,9.7946291,5.3129773,-7.8320613,-0.8702290
10,2.1164634,1.0486550,9.7299862,10.6564884,-30.1908398,-10.1297712
20,2.1595588,1.0390782,9.6222477,11.2366409,-31.1679382,-11.0610685
30,2.1954718,1.0941446,9.4211359,9.9618320,-31.7862587,-11.5343513
40,2.2768741,1.0941446,9.4905672,8.0916033,-30.6641216,-11.7557249
50,2.3247581,1.1324517,9.4426832,5.8473282,-26.8625946,-12.0152674
60,2.3319404,1.1156923,9.6126709,4.2671757,-23.8244267,-12.1679392
70,2.1356170,1.0654143,9.8353300,3.3206108,-21.9007626,-12.0610685
80,2.1068866,1.0342898,10.0508070,3.7175572,-21.4122143,-11.1221371
90,2.1906834,1.0414724,10.2327662,5.0305343,-23.6488552,-10.7786255
100,2.1787124,1.0630201,10.2471304,6.8091602,-25.9770985,-10.8854961
110,2.1188576,1.0007712,10.2830439,8.6793890,-28.7404575,-11.3435116
120,2.1763182,1.0845678,10.1992474,9.8931293,-31.2977104,-11.4885492
130,2.2242019,1.0678085,9.9478569,8.9389315,-30.6564884,-11.4580154
140,2.4564383,1.0462608,10.0053177,6.8702292,-26.9236641,-11.2900763
150,2.2289903,0.9433106,10.1178446,4.4427481,-21.5267181,-11.0229006
160,2.0326669,0.9361281,10.2614956,2.3129771,-15.7633591,-8.7633591
170,1.8746504,0.8188128,10.5080976,2.0687022,-11.4503813,-6.0305343
180,1.8004304,0.8236012,10.7259684,4.0152674,-10.7328243,-3.3511450
190,1.6615674,0.8738791,10.6804790,6.4961834,-11.7022905,-0.7786260
200,1.6998745,1.2138541,10.4913378,11.0839691,-10.4122133,4.9847326
210,1.8147956,2.1332228,10.5176744,7.3282442,5.2671757,16.4732819
220,1.7501525,2.4396791,10.7187862,6.2137403,7.9923663,19.3282452
230,1.6950861,2.9759774,11.0204544,6.3358779,6.8473282,21.0610695
240,1.7238164,3.4931223,11.5950594,7.9160304,4.4503818,23.6488552
250,1.8291607,4.2903876,12.0427732,9.8931293,1.9923664,26.5343513
260,2.2457497,5.0062504,12.5503407,12.1297712,-3.0229008,29.0381680
270,2.7389526,5.8226686,13.1704359,15.8473282,-8.3816795,29.8702297
280,3.3542595,6.3996682,13.5104113,20.3664131,-13.7480917,28.1374054
290,4.0054789,7.1179252,13.8791161,26.0458012,-21.0687027,23.6870232
300,4.4771342,7.9606800,13.9437590,31.4732819,-30.6641216,17.3816795
310,4.8889351,8.9111729,13.8862991,35.7862587,-38.2824440,11.0992365
320,5.0421629,9.9454632,13.5846310,38.4122124,-44.1297722,4.7938933
330,4.4699516,10.6325951,12.7897596,38.8396950,-48.5038185,0.8320611
340,4.0366035,11.4825325,11.9781294,34.5954208,-54.0839691,-0.0076336
350,4.0533628,11.9829178,11.9565821,28.2519093,-59.4503822,-1.6030535
360,3.7397239,12.0882626,12.7586355,27.6335869,-65.2366409,-3.4656489
370,3.5745249,12.2199430,13.5559006,34.8778610,-74.0000000,-3.5267177
380,3.4643922,12.1098099,13.6205435,49.0992355,-85.0916061,-2.7786260
390,3.1507533,12.4593620,12.3779593,63.5725174,-95.5038147,-1.6259542
400,2.8323262,13.4098549,10.6493549,69.5114517,-103.8473282,-1.0152671
410,2.7533178,13.9150295,8.6238708,64.4580154,-105.5038147,1.4274809
420,2.3271523,13.9653072,6.7085190,49.4274826,-99.9618301,4.6030536
430,1.9153515,13.8168669,5.4300218,26.5954189,-97.6106873,8.5801525
440,2.2170193,13.0243902,5.1882086,2.9465649,-98.8778610,10.9389315
450,3.0980811,11.8009596,5.0876527,-20.1603050,-92.7480927,8.7251911
460,3.2896163,10.3285332,5.0589223,-42.5496178,-77.8167953,2.1984732
470,3.0358322,8.2719250,4.8362627,-59.3282433,-64.0763321,-4.2061067
480,3.0980811,5.6766233,4.2185616,-69.3740463,-52.0076332,-10.6106873
490,3.5074875,2.4037662,3.4284792,-72.5954208,-42.6335869,-18.1908398
500,4.1587071,-1.1755470,2.4396791,-69.1526718,-36.2748108,-28.5877857
510,5.4874821,-5.0421629,2.0087249,-60.4045792,-32.2595406,-42.0916023
520,7.0508881,-9.4307127,1.1683644,-45.6030540,-22.0534344,-59.1526718
530,7.9534974,-14.5925846,-0.3806761,-34.2595406,-8.7786255,-74.0229034
540,8.2384062,-19.6131992,-2.6479735,-36.9465637,7.5954199,-78.9847336
550,7.4076223,-19.6131992,-5.1522956,-62.3969460,25.1068707,-70.9007645
560,5.6742291,-19.6131992,-6.2009506,-109.5877838,33.8244286,-51.7633591
570,3.5122759,-19.6131992,-5.5808558,-174.2977142,3.2366412,-17.9847336
580,2.6886747,-19.6131992,-2.1212518,-243.9541931,-53.5648842,19.4809170
590,4.1347651,-19.6131992,4.7069764,-250.1374054,-110.1374054,42.6030540
600,6.2105274,-17.6786957,12.2797976,-250.1374054,-152.3435059,41.2900772
610,8.1977043,-14.6811695,19.6126022,-250.1374054,-177.6870270,19.3206100
620,8.8848372,-13.3883076,19.6126022,-224.0000000,-164.4961853,-10.9770994
630,7.9918046,-12.4521790,19.6126022,-116.0916061,-149.1374054,-30.4122143
640,8.3413563,-11.4514084,19.6126022,24.5190830,-123.0381699,-40.3587799
650,8.7866755,-10.9605989,19.6126022,167.3358765,-77.6641235,-47.9694672
660,8.1833391,-11.0420017,18.8207226,250.1297760,-39.4427490,-52.8702278
670,7.8074517,-11.2742386,7.4770536,250.1297760,-10.7938929,-53.2213745
680,6.5193777,-10.8887739,-0.7445929,250.1297760,14.4580154,-45.8854980
690,5.4755111,-9.8137827,-5.1211715,244.2442780,28.4274807,-29.2824421
700,6.0644817,-8.6502066,-6.8617468,193.4351196,52.1450386,-16.1526718
710,6.9144192,-7.4459291,-4.8410511,152.7099304,86.8549652,-13.7175570
720,6.2105274,-5.9782910,-1.6065011,132.8549652,107.8015289,-15.0229006
730,5.1379304,-5.1235652,0.9433106,128.8931274,117.2061081,-12.0152674
740,4.6159973,-4.1060348,2.1380112,133.5190887,125.2900772,-5.7862597
750,4.2640514,-2.5953014,2.1092808,136.0763397,132.6183167,1.3129771
760,4.1299767,-0.9672526,1.7238164,132.3893127,143.1984711,8.7633591
770,4.2305326,-0.0167593,1.7309990,122.7862625,158.1679382,16.1297703
780,3.5026991,1.4867916,1.8100072,108.6793900,169.2824402,24.3435116
790,3.1818779,2.8514795,2.2170193,91.3740463,173.9541931,34.2748108
800,3.0693510,3.7205703,3.2106080,75.4198456,167.7251892,41.7251892
810,3.6894460,4.2640514,4.2018023,63.7404594,151.1603088,45.2442741
820,4.5082588,4.3909435,5.0230093,54.6641235,129.2137451,43.0916023
830,5.0900469,4.9009056,6.1387019,48.6259537,106.7328262,36.1832047
840,3.9240766,7.8050575,9.4115591,48.7862587,45.1221390,9.7099237
850,3.3039815,8.0540533,9.7395630,51.6641235,41.5725174,7.4656487
860,3.2130022,8.9231443,6.9263902,8.0763359,73.9312973,10.1908398
870,2.4324965,9.1817169,7.2256637,1.1068702,64.3969498,7.3740458
880,2.0997043,9.0787668,7.4052281,-2.9389312,50.6412201,5.9923663
890,1.9416877,8.8824425,7.3549500,-7.2366414,37.2977104,5.3282442
900,1.6328372,8.1402445,8.0923605,-19.9312973,7.2519083,7.3358779
910,2.3965836,7.5871863,8.6669655,-20.8015270,-5.8473282,11.5038166
920,2.7964132,7.6159167,8.9351149,-23.0763359,-4.2748094,13.6717558
930,3.7469065,7.7811155,9.5983057,-25.4045811,11.5267172,18.0916023
940,3.8474624,7.7643566,9.9310980,-26.9465656,19.2977104,17.3740463
950,3.9025288,7.6183109,10.1896706,-24.9312973,21.9389305,14.6030531
960,3.8809812,7.4531116,10.3692341,-19.3282452,18.0000000,10.7099237
970,3.6966286,7.1514440,8.5616217,2.1145039,-20.7022896,-10.6793890
980,3.5505829,6.9670911,8.2407999,0.2900763,-24.7251911,-14.0687027
990,3.3614421,6.9910331,8.2671366,-0.8320611,-27.0916023,-16.5648861
1000,3.1459649,6.7947097,8.5041609,-0.2061069,-29.2824421,-17.7862587
1010,2.9520357,6.7707677,7.9582858,-0.9007633,-29.0381680,-18.1679382
1020,2.7317703,6.6654234,7.7260494,-2.8320611,-28.4580154,-17.9923668
1030,2.6503677,6.6462698,7.6446471,-5.9007635,-27.5877857,-17.3282452
1040,2.4468615,6.6103573,7.6973190,-9.7557249,-27.7786255,-16.7938938
1050,2.2768741,6.6366930,8.1210909,-13.0458012,-32.4732819,-15.8320608
1060,2.2936335,6.5959921,8.9063845,-13.9618320,-39.0687027,-14.5801525
1070,2.5426292,6.6462698,9.6629486,-12.1221371,-45.2137413,-13.2748089
1080,2.4660151,6.8521700,10.2710724,-9.2671757,-51.0458031,-10.9160309
1090,2.6527619,7.3094602,10.8768024,-5.2366414,-54.2061081,-7.3740458
1100,2.9065459,7.9247670,11.3269100,-0.3740458,-54.3587799,-3.8167939
1110,3.2010312,8.6526003,11.6285782,3.8473282,-50.8167953,-1.0534351
1120,2.7341642,10.1800938,11.0803089,11.6870232,-49.9618340,4.4961834
1130,2.3606708,10.5775290,10.6110477,13.8167934,-56.8549614,8.3435116
1140,2.2553265,11.0779142,10.2782555,15.1679392,-67.6106873,11.9312973
1150,2.0781565,11.5974541,9.7228031,17.8396950,-83.9007645,16.2290077
1160,2.6431851,12.1672707,9.2463598,18.1297703,-98.5648880,19.6564884
1170,3.7876077,12.9070749,8.9231443,15.9389315,-103.2366409,19.2442741
1180,4.4723458,13.6899757,8.6214762,9.8167934,-96.3282471,15.9847326
1190,4.2425036,14.4776640,7.9726510,-0.8320611,-83.4274826,11.9083967
1200,3.7373297,14.3699255,7.3788919,-13.4885492,-75.1755753,8.4351149
1210,3.2417326,13.6971579,6.6606350,-23.1679382,-79.4351120,4.7786260
1220,2.2553265,12.3037395,5.3342543,-29.0916023,-100.1603088,1.6870229
1230,1.2784972,11.3795824,3.8737986,-34.8167953,-135.6946564,1.8396946
1240,0.8499373,10.6900558,2.2720859,-43.4809151,-178.7175598,6.1068702
1250,1.6926919,8.7340031,0.7158626,-62.3664131,-197.5725250,15.7404585
1260,2.3056045,5.3605900,-0.2154770,-93.8091583,-171.8396912,29.0152664
1270,1.5274929,2.1260402,0.4094064,-125.2977066,-129.8854980,45.3969460
1280,0.7613522,-0.6416427,-0.0047884,-146.7862549,-84.6335907,65.7022934
1290,0.6248835,-3.6535332,-1.3048333,-164.3587799,-48.3816795,86.5725174
1300,1.6902977,-6.4714942,-2.6527619,-179.1603088,-35.1832047,96.9389343
1310,3.5769191,-9.0213060,-3.4883339,-190.9923706,-41.7862587,97.7251892
1320,6.0525107,-11.5663290,-3.7852135,-201.1984711,-56.2595406,85.9236679
1330,9.1865053,-14.1616306,-3.0310438,-213.0915985,-54.1145020,59.9312973
1340,11.1066446,-16.9484673,-1.3287752,-228.6870270,-30.4961834,25.2213745
1350,10.9797525,-19.6131992,1.8124014,-243.6793823,0.0763359,-12.6335878
1360,8.7220325,-19.6131992,5.5569139,-248.7557220,6.0076337,-41.8473282
1370,6.3206601,-19.6131992,9.6054878,-237.5801544,-25.7251911,-54.4732819
1380,4.7141590,-19.6131992,13.1895895,-215.0839691,-90.1908417,-48.7251892
1390,5.8154860,-19.6131992,19.5198269,-178.5877838,-144.1068726,-37.9771004
1400,9.0715837,-19.6131992,19.6126022,-103.8854980,-154.7786255,-40.0228996
1410,10.8432837,-16.8431225,19.6126022,1.6793894,-119.3740463,-55.2290077
1420,11.2407198,-14.8415804,19.6126022,109.4885483,-58.0610695,-72.4503784
1430,9.9119444,-14.5207586,19.6126022,192.0763397,4.7938933,-86.0916061
1440,7.3812861,-14.8320036,8.7268209,231.3893127,55.0458031,-84.0839691
1450,4.9679432,-14.2095146,0.2370248,229.4809113,89.3664093,-66.8091583
1460,3.8426740,-12.7634239,-3.6990228,203.7251892,97.6564865,-44.1755714
1470,3.7038112,-10.7642756,-3.2584918,178.2137451,93.8854980,-23.9923668
1480,4.7428894,-8.7747040,-0.6631905,168.2290039,82.5572510,-9.7480917
1490,6.2608056,-7.0437055,1.2880739,172.9313049,78.3893127,-4.1145039
1500,7.3070664,-5.5186067,1.3383518,178.3129730,88.2748108,-1.3511450
1510,7.6207051,-3.5266411,0.7541697,176.8473358,110.0610657,-2.1526718
1520,6.2033448,-1.2258250,-0.6033357,163.6488495,128.0000000,0.0534351
1530,5.1211715,0.0191535,-0.9983770,142.2137451,135.2595367,6.9465647
1540,4.1754665,1.4484847,-0.0239419,120.3358765,131.8091583,18.2671757
1550,4.2640514,2.9041519,1.2952565,101.6030502,119.6030502,29.1603050
1560,5.0828643,3.9240766,2.8131726,87.0839691,102.7022934,34.7480927
1570,6.8521700,7.9008250,7.5560617,55.8091621,27.1068707,9.7099237
1580,6.6821828,8.3868456,7.1394730,45.8625946,29.4809170,9.3587790
1590,6.6941538,9.0787668,7.2735476,34.3053436,37.6183205,8.5877867
1600,6.3015065,9.9263096,7.2855186,22.1832066,47.1603050,7.5190840
1610,5.8083038,11.1904411,7.3717093,-6.3664122,55.8244286,-8.9847326
1620,5.3198891,10.9677820,7.1777802,-14.2519083,46.3206100,-17.1374054
1630,5.0421629,10.4458485,7.5057840,-22.2824421,32.3053436,-23.0992374
1640,3.8474624,10.2734671,7.7763271,-24.6335869,12.5343513,-23.5572510
1650,3.0980811,10.5559816,7.6829538,-26.0076332,-8.8091602,-18.3435116
1660,2.9280937,10.6780853,7.5033898,-27.9541988,-30.6259537,-8.4274807
1670,4.1204000,11.3101511,7.4531116,-35.0687027,-41.0076332,1.1526718
1680,5.8897061,12.2821922,8.3078375,-44.1679382,-36.2137413,6.1832061
1690,8.0708122,12.8615856,9.3732519,-53.0228996,-10.9541988,4.7175574
1700,9.1386213,12.5455532,10.3333216,-61.4885483,32.8854980,-0.8091603
1710,7.4124107,11.6357603,11.5184450,-67.0457993,77.5267181,-4.9312978
1720,5.9854736,10.3740225,10.8959560,-60.6793900,95.8244247,1.3816794
1730,4.1730723,10.3835993,10.4219065,-57.0687027,85.1221390,1.1984733
1740,1.0031654,10.8313131,10.4769726,-63.1832047,12.9312973,11.2366409
1750,4.5250182,10.5847120,12.9693241,-46.1526718,-27.2671757,7.1603055
1760,6.3948798,10.6158361,13.0698805,-28.2748089,-49.7022896,-1.8549619
1770,6.9503322,11.2742386,13.0507269,-16.0229015,-46.6564903,-15.8931293
1780,5.5329719,11.5926657,12.1409349,-5.2824426,-50.6946564,-25.9694653
1790,4.2209558,11.7650471,10.7570934,-2.3053436,-52.2061081,-27.6183205
1800,3.4093258,12.1624823,9.8664551,-4.0381680,-50.2824440,-24.7022896
1810,2.7078283,12.3252869,9.0667953,-6.1755724,-46.3664131,-17.5725193
1820,2.0901275,12.6341381,7.7260494,-8.8702288,-45.0458031,-6.7862597
1830,2.9592183,13.0459385,5.8801293,-19.7328243,-45.4427490,1.0839695
1840,3.9959023,12.9525652,4.4436154,-36.3969460,-43.5496178,0.4045801
1850,4.6710634,12.3348637,3.7780309,-52.6717567,-49.3740463,-7.4351144
1860,4.6519103,11.1138277,3.0430148,-67.2671738,-65.3206100,-19.7099228
1870,4.6040263,9.4857788,2.7413468,-79.4732819,-84.4732819,-32.2137413
1880,4.5226240,7.4914188,2.5186872,-88.2366409,-97.2519073,-42.0076332
1890,4.9607606,5.3366485,2.2242019,-94.6870193,-92.7175598,-48.4656487
1900,5.6095858,2.8826041,1.6304430,-100.3664093,-62.0228996,-52.8931313
1910,4.9080882,-0.1436514,0.8403605,-104.4198456,-20.9618320,-52.6564903
1920,4.8602047,-3.7516949,-0.2873027,-103.2137375,5.8320613,-49.1374054
1930,5.9998388,-7.4028339,-2.0805507,-99.2137375,17.2595425,-52.3206100
1940,6.8880830,-10.9749641,-4.2257442,-99.3740463,1.5725191,-63.6412201
1950,8.0420828,-15.6364517,-7.8194227,-111.5419846,-47.4427490,-77.8320618
1960,8.0803890,-19.6131992,-12.9046812,-149.7862549,-114.7480927,-86.0381699
1970,9.3828287,-19.6131992,-15.8255920,-240.8473358,-208.2977142,-90.2442780
1980,10.7714586,-19.6131992,-8.0660238,-250.1374054,-250.1374054,-93.5114517
1990,11.0084829,-19.6131992,9.9287033,-250.1374054,-250.1374054,-85.0916061
2000,10.6661139,-19.6131992,19.6126022,-250.1374054,-250.1374054,-72.1297684
2010,19.3330803,-19.6131992,19.6126022,-230.6870270,-250.1374054,-99.8244247
2020,19.6126022,-17.6523590,19.6126022,7.7786260,-249.1908417,-157.4122162
2030,13.9437590,-19.6131992,19.6126022,250.1297760,-55.8167953,-177.7404633
2040,4.4795284,-19.6131992,16.4839935,250.1297760,51.3816795,-125.5267181
2050,1.2210367,-18.2892132,-4.1922259,250.1297760,111.3053436,-55.8244286
2060,0.8044477,-14.5183649,-16.0913467,250.1297760,129.3282471,1.0381680
2070,2.8658447,-8.9997578,-18.5501804,240.7099304,122.7175598,39.3053436
2080,5.8897061,-5.0421629,-12.4976692,99.1297684,136.4122162,54.0381660
2090,7.1777802,-4.0030847,-1.4652439,34.5114517,192.2366486,52.8091621
2100,5.8609757,-3.0693510,4.8793583,31.7938938,240.2977142,56.9236641
2110,4.8530221,-2.4851687,7.5393028,65.3358765,250.1297760,64.4580154
2120,5.1929970,-1.7070571,7.0796180,109.8549652,250.1297760,70.1755753
2130,5.6718349,-0.7541697,4.2305326,141.5190887,250.1297760,73.9542007
2140,5.0852585,0.2753318,0.7685348,148.5648804,238.3282471,81.8549652
2150,5.2121506,1.4580613,-1.1851238,135.4351196,221.7709961,93.2824402
2160,6.0165982,3.1435707,-0.9600700,109.1145020,198.1679382,103.7938919
2170,7.3310080,4.3526363,0.8978211,79.0916061,200.0839691,112.9847336
2180,7.9439206,6.9216018,3.3422885,50.1297722,180.1984711,114.7022934
2190,9.8473015,7.3190370,5.6694407,32.8320618,149.2519073,95.8931274
2200,10.9869356,7.2783360,8.0109577,28.0229015,118.3740463,60.6717567
2210,10.3740225,7.0724359,9.6078825,33.9312973,93.7404556,26.8854961
2220,9.3660688,6.3062949,9.8688488,44.2366409,74.0305328,4.6030536
2230,5.6670465,6.9239960,6.7659793,49.7480927,79.4885483,3.2366412
2240,5.5880380,6.9024482,6.1817970,32.4122124,86.8702316,0.1526718
2250,4.3526363,7.0939832,6.0884237,-2.3969467,76.9847336,-18.0305347
2260,3.8163381,6.9503322,6.5289545,-16.0610695,61.6946564,-26.3511448
2270,3.1411765,7.1490498,7.7164726,-23.1297703,29.8549614,-31.8702297
2280,3.2297616,6.3829093,8.2743187,-24.6183205,20.6488552,-35.6870232
2290,3.1028695,6.0788469,8.9111729,-24.0839691,21.4274807,-39.1221390
2300,2.3271523,5.7197185,8.9207497,-24.4122143,17.1297703,-37.2900772
2310,2.1140692,5.0158267,9.0141230,-24.9847336,12.6793890,-32.5496178
2320,2.2050486,4.7835903,9.0835552,-24.7404575,9.5419846,-29.0610695
2330,1.8147956,5.0301919,9.3732519,-24.7633591,4.2748094,-25.8396950
2340,1.6855093,5.4802995,9.7658987,-25.1374054,-3.2824428,-21.4427490
2350,1.7549409,5.8490047,9.8089943,-26.0763359,-7.0992365,-15.9465647
2360,2.1571648,5.9447722,9.7682934,-29.5190830,-4.9465647,-11.2137403
2370,2.7245877,5.6598639,9.9622221,-43.6259537,2.2213740,-10.8396950
2380,2.5210814,5.3749552,10.8887739,-51.2061081,2.4427481,-12.5496187
2390,1.9728121,5.2696109,12.1529055,-50.6183205,1.8778626,-11.8167934
