timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,19.6126022,-10.8815908,19.6126022,212.2519073,-71.9542007,250.1297760,-0.5937590,0.3040621,10.6804790,0.2290076,-3.6641221,-2.2137403
10,19.6126022,-0.3710994,17.7984047,250.1297760,-170.7862549,207.1526642,-0.5913648,0.3495516,10.5583754,0.1068702,-3.7633588,-2.5648854
20,19.6126022,5.1882086,-1.5514348,250.1297760,-250.1374054,23.6183205,-0.6344602,0.3327923,10.6134415,-0.4809160,-3.6412213,-2.3893130
30,16.1440201,7.2041159,-9.4833841,143.0610657,-250.1374054,-37.2366409,-0.6320660,0.3567342,10.6852674,-0.6717557,-4.4198475,-2.6793892
40,9.5192976,4.5106530,-5.7843618,-21.5572510,-218.8091583,-12.4274807,-0.6224893,0.3136388,10.6469603,-0.8702290,-4.6946564,-3.0534351
50,13.7618008,1.2282192,4.3693957,-105.1984711,-125.8931274,58.6183205,-0.6799498,0.3974355,10.4937325,-1.2366412,-4.7862597,-3.1679389
60,17.2190113,4.1419477,9.2535419,-114.6717529,38.3664131,80.4809189,-0.6248835,0.3543400,10.6996326,-1.4732825,-5.0381680,-3.6183207
70,17.3866043,5.2456689,11.4083128,-105.6335907,130.1450348,57.9465637,-0.6631905,0.3710994,10.6685085,-1.2748091,-4.7404580,-3.1374047
80,14.5782194,4.4819226,12.0499554,-79.4809189,164.9847260,34.2671738,-0.6057299,0.3926471,10.6613255,-1.1832061,-4.5496182,-3.0229008
90,12.2893744,3.3805954,11.5328102,-36.6946564,169.6793823,21.5801525,-0.6512195,0.3303981,10.6732969,-0.3664122,-4.1450381,-2.8854961
100,10.4434547,2.7197993,9.3612804,8.6259546,154.0076294,13.1068707,-0.5482694,0.3663110,10.7523050,-0.3358779,-3.6717558,-2.0839694
110,7.6446471,3.0214672,0.6488253,-36.9541969,82.7633591,-13.2748089,-0.6009415,0.3830703,10.5535870,-0.0763359,-3.5572519,-2.6030533
120,6.4571290,2.3965836,0.6703730,-75.1832047,94.5801544,-15.4503813,-0.6224893,0.2849085,10.6445665,-0.3511450,-3.7709923,-2.9389312
130,5.6431046,2.1212518,2.3989778,-110.9694672,87.8702316,-17.5572510,-0.6560079,0.3399749,10.7546988,-0.1984733,-3.5954199,-2.7557251
140,5.2528515,1.2784972,3.7995787,-134.1145020,76.6183243,-19.9007626,-0.7038917,0.3710994,10.6302013,-0.0152672,-3.9389312,-2.9618320
150,4.6614871,0.6943150,5.1139889,-150.5725250,55.5114517,-24.2748089,-0.6871324,0.3663110,10.6397781,0.2290076,-3.4580152,-1.7633588
160,3.9719603,0.0502780,5.5186067,-170.3664093,7.9923663,-23.6488552,-0.6368544,0.3471575,10.5464048,0.2671756,-3.5190840,-1.8702290
170,4.6136031,0.0215477,6.0381460,-184.1450348,-5.6412215,-19.4503822,-0.7421987,0.3734936,10.5607700,0.0305344,-3.9618320,-1.7404580
180,4.7907729,-0.9504932,7.7954807,-190.2671814,-12.9465647,-14.0610685,-0.6584021,0.3974355,10.6278067,0.1679389,-4.1221375,-1.1068702
190,5.6407104,-1.0342898,9.3445215,-191.5343475,-25.4580154,-8.1908398,-0.6440369,0.3375807,10.7163916,0.2900763,-4.4045801,-1.7022901
200,7.1921453,-1.5921360,10.2902260,-189.7862549,-25.6793900,-2.7022901,-0.6129125,0.3399749,10.6900558,0.4351145,-4.1679387,-1.1297710
210,8.9542685,-2.4636209,12.2367020,-189.7328186,-35.0687027,0.6183206,-0.5961532,0.3710994,10.8121595,0.7099237,-3.3206108,-1.7404580
220,10.8121595,-2.9855542,13.7234936,-186.6412201,-43.6946564,-1.0916030,-0.5722113,0.3495516,10.6637201,1.3511450,-2.7022901,-1.0076336
230,12.4785156,-2.9855542,15.0474806,-176.3282471,-36.7557259,-7.6183205,-0.6057299,0.3471575,10.7642756,1.5954199,-2.3893130,-2.1068702
240,13.9174232,-3.0286496,15.7753143,-159.2290039,-36.8931313,-17.9389305,-0.5913648,0.3950413,10.6756907,1.8854961,-2.3893130,-1.4122137
250,15.6244802,-3.4428444,16.1057129,-138.1221313,-47.6641235,-36.3435097,-0.6057299,0.3998296,10.6589317,1.9083970,-2.5114503,-1.6183206
260,16.9293137,-3.9528067,16.2948532,-115.9236679,-56.7480927,-67.6259537,-0.6416427,0.3830703,10.6254129,1.7862595,-2.8015268,-2.1526718
270,17.3506908,-4.9990678,16.7138367,-88.7175598,-83.3511429,-114.6335907,-0.6296718,0.3303981,10.5703468,1.1908396,-2.8244274,-1.8091604
280,18.0641594,-5.7556314,16.2445755,-57.3740463,-122.0687027,-174.4351196,-0.6033357,0.3543400,10.6541433,1.0610687,-2.7480917,-2.2595420
290,18.5741215,-6.0549049,15.2533808,-28.8091602,-158.6717529,-243.7557220,-0.6224893,0.3758878,10.5511932,1.1374046,-3.0610688,-1.8396946
300,19.1176033,-6.6630292,14.6524391,-7.0458016,-182.8015289,-250.1374054,-0.6105183,0.3471575,10.6230183,0.8778626,-3.1145039,-2.2213740
310,19.0146523,-7.1538382,14.1879663,8.5877867,-199.5114441,-250.1374054,-0.6177009,0.3256098,10.6565371,0.8091603,-3.2748091,-2.5496182
