timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,-0.0215477,12.1050215,-4.7788019,-81.6412201,-37.1679382,-11.0305347,1.7621235,7.7715387,4.1682839,33.2519073,-49.9007645,-0.9465649
10,-1.0390782,12.2869806,-3.7564833,-78.4427490,-15.6259546,-23.0305347,1.9560528,8.1306677,4.2377152,33.5038185,-48.9236641,-3.6183207
20,-3.4021432,12.9980545,-3.0908985,-65.3740463,9.2061071,-25.1068707,2.0661855,8.6118994,4.0653338,34.4198456,-47.1145020,-6.3435116
30,-5.7412663,13.6612453,-2.6862805,-44.6717567,24.2748089,-11.9389315,1.9416877,9.0667953,4.1730723,36.1145020,-43.3282433,-7.5496182
40,-6.2799587,12.8041248,-2.6623387,-16.3282452,23.9847336,9.2671757,2.0350611,9.4905672,4.1251884,37.9771004,-37.7557259,-7.5877862
50,-5.8777351,11.3771887,-3.2010312,18.9694653,12.8854961,37.4503822,1.9153515,9.8760319,4.1658897,40.3740463,-33.3740463,-8.8931293
60,-4.8266859,10.0723553,-4.4651632,53.0534363,1.3969465,73.6412201,1.8554969,10.1585455,4.2855992,43.6870232,-29.5877857,-9.7022905
70,-3.0382264,9.3469152,-5.7269011,78.4045792,-6.5343513,109.7480927,1.8124014,10.4650021,4.3382711,47.4274826,-25.4961834,-10.2977095
80,-0.8762733,9.1027079,-6.6558466,96.7557220,-14.9007635,133.0305328,1.7190280,10.6661139,4.2664456,51.3893127,-22.0381680,-11.5725193
90,0.7517755,9.2631187,-7.4674768,108.1603088,-21.4045811,140.2366486,1.5466464,10.7834291,4.2616572,56.0916023,-19.3053436,-12.5267172
100,1.7262106,9.7084379,-8.7579451,110.5572510,-28.3511448,135.3282471,1.3048333,10.8887739,4.1156116,61.1145020,-17.1221371,-12.9389315
110,1.6591733,10.1082678,-9.7922344,102.0916061,-35.1832047,126.0229034,1.1109039,10.9198980,3.8163381,65.0610657,-16.0229015,-11.4580154
120,1.1683644,10.4865494,-10.3907824,79.8931274,-38.0687027,116.5648880,0.8379663,10.9821472,3.3135581,65.6564865,-15.8167934,-8.7633591
130,0.5889706,10.2734671,-10.0340481,52.4427490,-31.3587780,109.1297684,0.6871324,10.9869356,3.0238612,63.3282433,-15.9465647,-5.0839696
140,-0.6751614,9.7443514,-8.7675219,31.3511448,-18.7175579,105.8167953,0.5985473,10.8815908,2.7700772,58.5419846,-15.6641226,-0.9618320
150,-2.3702476,9.2056589,-7.8649125,23.4503822,-6.1679387,111.4732819,0.5841822,10.7211800,2.7509236,52.5496178,-17.2061062,3.3358779
160,-4.1970143,8.3461447,-7.7452030,23.7709923,4.5419846,127.5267181,0.6129125,10.4554253,2.9711890,47.8473282,-20.2137413,8.2213745
170,-5.2193332,8.0253229,-7.1634150,31.1221371,7.0152674,151.0381622,0.7805058,10.0747490,3.3207407,45.0763359,-22.2366409,11.8396950
180,-4.5848727,7.5416965,-6.2631998,52.0992355,1.6488550,174.9007568,1.1348459,9.6557665,3.3518653,42.8931313,-24.4351139,14.7328243
190,-3.7038112,7.1634150,-6.9311786,81.5801544,-1.7786260,192.5267181,1.4221486,9.2655134,3.3135581,40.5877876,-26.2671757,15.7175570
200,-3.2776453,7.0197635,-9.1912937,103.4503784,0.6946565,205.5038147,1.5658000,9.0236998,3.3734128,38.6030540,-26.2595425,15.0687027
210,-3.1890604,7.1442614,-11.6812506,103.4274826,4.7786260,216.9236603,1.4772149,8.7794924,3.3901722,36.2900772,-25.1755733,14.7938929
220,-2.9903426,7.0868006,-13.3739424,85.0534363,8.3282442,226.9313049,1.3766589,8.4443064,3.4021432,33.7786255,-24.7862587,15.7175570
230,-3.0980811,7.0724359,-13.8384151,54.6259537,13.7633591,237.3282471,1.5035510,8.1115141,3.5481887,32.6183205,-24.4045811,17.4198475
240,-3.5960727,6.7971039,-12.9334116,22.4351139,18.8931293,250.1297760,1.5681942,7.7284436,3.9097114,34.1221390,-21.4198475,19.4122143
250,-3.8522508,6.0668759,-11.3771887,-4.1221375,21.1832066,250.1297760,1.7836711,7.4219875,3.9240766,37.9083977,-15.8167934,22.2366409
260,-3.6846576,5.0732875,-9.8520899,-20.6030540,18.2824421,250.1297760,1.8866212,7.0077925,3.7421181,42.2366409,-8.9389315,23.1908398
270,-2.8849983,3.7325413,-8.4155760,-27.6870232,16.9160309,250.1297760,2.0494261,6.6582408,3.5290353,45.7404594,-1.7557251,23.0381680
280,-1.1252691,1.9680238,-6.9024482,-26.5648861,12.6030531,250.1297760,2.2146254,6.4499464,3.2417326,47.6717567,2.5801528,21.9618320
290,2.5665710,-0.9002152,-5.2935529,-7.9923663,-4.3816795,250.1297760,2.5162930,6.1794028,2.3941894,44.6564903,3.7709923,17.6488552
300,4.2975702,-2.0973101,-5.0349803,-3.3435113,-10.3969469,250.1297760,2.5522060,6.2440462,2.0254843,40.0763359,1.8625954,13.8931293
