timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,4.0820932,8.4610653,-1.5538290,21.6106873,-82.4885483,5.7633586,-3.0071020,4.2448978,9.8425131,-3.6488550,-0.6717557,-6.2213740
10,3.6176202,9.3636751,-2.3678534,11.7328243,-79.7862625,16.3816795,-2.6862805,4.0533628,8.9853926,-6.0687022,-3.9007633,-8.6870232
20,2.9616125,9.4618368,-2.6551561,11.3664122,-83.9389343,22.7862587,-2.9280937,3.9887197,9.1481981,-10.1450386,-7.2442746,-9.8015270
30,2.4085546,9.0332766,-3.1723011,9.9236641,-89.7938919,33.5954208,-2.9472473,4.0318151,9.3397331,-12.1603050,-9.9770994,-8.8625956
40,1.3598996,9.1481981,-3.2369442,7.1068702,-98.5801544,47.4809151,-3.0071020,4.0820932,9.4546537,-12.9541988,-9.8549614,-6.6641221
50,-1.3886299,9.3086090,-1.9440818,12.9160309,-103.3664093,72.1526718,-2.9783716,3.8905578,9.5432396,-11.6259546,-6.3129773,-3.5725191
60,-0.9385223,9.5863342,-3.0501974,24.9923668,-135.5572510,103.8091583,-2.9448531,3.6822634,9.7084379,-8.9618320,-1.7633588,-2.1755726
70,-1.4676381,9.8209648,-2.4085546,39.2366409,-166.2900696,131.1374054,-2.8395088,3.6008608,9.8880024,-5.8015265,0.6335878,-1.2213740
80,-1.2904681,10.2184010,-3.2082138,56.9923668,-184.5572510,160.5496216,-2.6671271,3.6774750,10.0053177,-2.7099237,1.7022901,-1.6564885
90,-0.7421987,10.2950144,-4.1802549,66.0152664,-189.8015289,189.0076294,-2.6599445,3.6750808,10.0891142,1.1221374,3.2595420,-1.5190840
100,0.7733232,10.7858238,-5.0325861,70.2900772,-183.9465637,213.7328186,-2.6551561,3.6894460,9.7946291,3.7862597,3.9083970,-1.4122137
110,1.9033806,11.7865944,-6.3805151,68.6183243,-172.0686951,231.3740387,-2.7293761,3.7947903,9.6078825,4.5038166,4.4351144,-2.1221373
