timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,0.9480990,3.1699069,10.2040358,24.2977104,-20.4503822,1.9007634,-5.3103123,1.7333932,8.8130112,-2.1068702,-8.4427481,-4.4809160
10,1.2617378,3.4907281,8.8585014,-2.4809160,2.2900763,2.0763359,-5.2528515,1.6759326,8.8465300,-0.1832061,-0.0534351,-2.7862597
20,1.2425843,3.5529771,8.9590569,-4.4580154,1.3282443,0.4198473,-5.1929970,1.6663558,8.8130112,0.1526718,1.6946565,-2.4809160
30,1.3168042,3.4332676,9.2104464,-5.1450381,0.9923664,-1.1374046,-5.3294659,1.6735384,8.7531567,0.8320611,4.6870227,-1.7099236
40,1.2808913,3.3542595,9.3612804,-5.6030536,2.8015268,-2.0076337,-5.2815819,1.6783268,8.6861191,0.9465649,7.1374044,-0.3282443
50,1.1827296,3.2417326,9.6294298,-5.2061067,3.6335878,-1.7175573,-5.4324160,1.7142396,8.7483683,0.6717557,8.4122133,0.4885496
60,1.2377959,3.1699069,9.6844959,-3.4351146,1.7862595,-1.0458015,-5.3749552,1.6807210,8.6478119,0.2442748,8.4732828,1.6412214
70,1.2090657,3.0885043,9.7419567,-1.4122137,-1.1603054,-1.2671756,-5.3893204,1.6855093,8.8058290,0.0152672,8.2671757,0.6183206
80,1.3575054,3.0885043,9.6509781,0.3358779,-3.0992367,-2.4351146,-5.3127065,1.6998745,9.0141230,0.6946565,8.2213745,1.2366412
90,1.3431402,3.0621684,9.4546537,1.1755725,-3.8015268,-3.3511450,-5.2672167,1.7405758,9.0931320,2.3664122,7.8396945,-0.5801527
100,1.3718705,3.0334380,9.3756456,1.2213740,-4.1832061,-4.1297708,-4.9942794,1.8339491,9.0213060,4.4427481,7.7404580,-2.4198472
110,1.3311694,2.9807658,9.3947992,1.0687023,-4.2061067,-4.4885497,-4.8554163,1.8938038,8.8465300,6.2366414,6.7099237,-4.7557254
120,1.3670821,2.9711890,9.4546537,1.3511450,-4.0381680,-4.4503818,-4.8482337,2.0111191,8.5831690,5.8244276,6.1145039,-6.4274807
130,1.3742647,2.9831600,9.4953556,1.8167939,-3.8091602,-4.2824426,-4.8793583,1.9153515,8.4323349,4.4885497,6.5114503,-7.5725193
140,1.3335636,3.0142846,9.5049324,2.4198472,-3.7938931,-3.7251909,-4.9200592,1.9608412,8.1977043,2.4809160,5.3893127,-9.7022905
150,1.4245427,3.1579359,9.5145092,2.8396947,-4.2900763,-3.4732823,-5.0661049,1.9177457,8.3293848,-0.5114504,4.0992365,-11.8167934
160,1.5322813,3.1723011,9.3756456,3.3282442,-3.4122138,-3.7633588,-5.1020179,1.9201399,8.4012108,-3.1374047,2.1832061,-13.9007635
170,1.2808913,3.3255291,9.1505919,2.6488550,-1.3969465,-4.1908398,-5.0397687,1.8602852,8.4586716,-4.4503818,2.3664122,-16.7022896
180,1.2186425,3.2680686,9.1386213,1.3587786,0.4580153,-4.1755724,-4.9128766,1.8147956,8.4467001,-4.7328243,3.6259542,-20.0534344
190,1.1276633,3.3542595,8.9949694,0.0839695,1.5419847,-3.8015268,-4.8051381,1.8076130,8.4586716,-5.0000000,6.1603055,-23.4885502
200,1.0007712,3.4619980,9.0404596,-1.8167939,3.0839694,-3.3282442,-4.6112089,1.6567791,8.4155760,-6.1984735,9.1374044,-27.9160309
210,0.8236012,3.4619980,9.1122847,-4.1603055,4.1297708,-1.8015267,-4.8506279,1.5873476,8.3772688,-10.2595415,11.9770994,-38.0076332
220,0.8092360,3.4835455,9.1888990,-4.6030536,3.7709923,-0.7938932,-4.5537481,1.1300575,8.0708122,-12.8015270,18.0763359,-41.6259537
230,0.7829000,3.3782012,9.1122847,-5.2137403,3.8778627,-0.1374046,-4.7476778,1.2593436,8.1833391,-15.9465647,25.0534344,-46.9160309
240,1.4173602,3.0071020,9.9550400,-1.5877863,-0.3740458,0.6870229,-10.5128860,0.8044477,13.3619709,-29.4961834,-22.3206100,-29.0916023
250,1.4053892,3.0406206,9.8496952,1.7404580,-2.8702290,-0.5648855,-10.5583754,0.5123565,13.9964314,-15.1832066,-37.7862587,-27.5725193
260,1.4029950,3.1196289,9.6390066,3.7633588,-4.1068702,-1.5343511,-10.5727406,0.2561783,13.9844608,0.7480916,-47.0458031,-26.1908398
270,1.3622938,3.1507533,9.4618368,4.3358779,-3.8167939,-2.5954199,-10.8265247,0.0191535,13.9078465,14.7480917,-44.3893127,-21.9923668
280,1.2856797,3.1507533,9.3349447,4.0687022,-3.0610688,-3.2671757,-11.3556404,-0.2226596,13.7881374,27.0534344,-28.6183205,-12.2290077
290,1.1851238,3.2034254,9.2726955,3.6183207,-2.3587787,-3.8167939,-11.7746239,-0.6200951,13.7809544,38.8244286,-4.7557254,1.8244275
300,1.1755470,3.2800395,9.2846670,3.0839694,-1.8396946,-4.3129773,-11.8512383,-1.0558375,13.8025026,48.2061081,20.7557259,15.6488552
310,1.1611819,3.2417326,9.3014259,2.8244274,-1.1755725,-4.8549619,-12.0643206,-1.3622938,14.6739874,55.9465637,47.1908379,27.6946564
320,1.0893562,3.3375001,9.3445215,2.8015268,-1.0458015,-4.6946564,-12.5718889,-1.6591733,16.1512012,66.7022934,69.6717529,40.5114517
330,1.0366840,3.2704628,9.3421268,2.9770992,-0.6641222,-4.2519083,-12.6580801,-2.5162930,17.2501354,84.2900772,82.8931274,51.4045792
340,0.9768293,3.2680686,9.3253679,2.6183207,-0.2977099,-3.7251909,-12.5766773,-3.6511390,17.6691189,107.0381699,85.3053436,60.2519073
350,0.9768293,3.2656744,9.2487535,2.3740458,-0.0916031,-3.3129771,-12.7131462,-4.1275826,17.6379929,132.4351196,80.1984711,65.3206100
360,0.9864060,3.2297616,9.3325500,2.1145039,-0.3435115,-3.1297710,-13.8168669,-3.5841017,17.2836533,159.1908417,60.9465637,69.8854980
370,1.0318956,3.2848279,9.2535419,1.7633588,-0.4656489,-2.6183207,-15.0259333,-2.9855542,16.1009235,185.1221313,30.1450386,83.7099228
380,0.9983770,3.1842721,9.2008705,1.3664122,-0.8931298,-2.0839694,-15.3659077,-2.6886747,14.1281118,206.5267181,3.0916030,103.9312973
390,0.9959828,3.1507533,9.2439651,1.3206106,-1.4122137,-1.8549619,-14.7146883,-2.1763182,11.8823624,220.6335907,-18.1832066,129.3053436
400,1.0702027,3.1842721,9.3852224,1.5954199,-1.6488550,-1.5725191,-13.6899757,-2.3534882,9.0021524,224.9160309,-21.0152664,155.4961853
410,1.1085097,3.1555417,9.3445215,1.3435115,-1.9007634,-1.2900764,-12.7251167,-2.0709739,7.2783360,217.8854980,-16.4351139,178.9694672
420,0.9624642,3.1746953,9.4714136,2.0305343,-2.2442749,-0.6335878,-11.5902710,-1.4413021,6.3398137,203.8015289,-10.9312973,204.0686951
