timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,0.8355721,2.3223639,9.6749191,1.2061069,-4.7099237,1.1297710,-1.8938038,0.5769997,10.4650021,-19.1603050,-50.9465637,-31.4961834
10,0.9720409,2.3726418,9.6198530,1.8549619,-4.9236641,1.0000000,-2.0494261,0.5841822,10.4195127,-17.7251911,-47.1068687,-31.0000000
20,1.1324517,2.3391230,9.6844959,2.2900763,-5.3816795,-0.0610687,-2.1930776,0.5506636,10.3309278,-17.3587780,-41.7099228,-28.8091602
30,1.1635761,2.3247581,9.5647869,2.0381680,-5.1297708,-1.3206106,-2.3199697,0.4525018,10.2998028,-17.7480907,-35.8625946,-25.3358784
40,1.1516051,2.3439114,9.5815458,1.1603054,-4.9923663,-2.5190840,-2.3271523,0.4094064,10.2950144,-17.8702297,-30.0076332,-21.7633591
50,1.1348459,2.3917952,9.6437950,1.2061069,-5.0381680,-3.8244274,-2.4947455,0.2011119,10.5727406,-17.2595425,-28.0152664,-19.6183205
60,1.0630201,2.3534882,9.7275915,1.5954199,-6.1068702,-5.6030536,-2.4588325,0.1029501,10.6804790,-16.4351139,-25.8473282,-17.4427490
70,1.0558375,2.3750360,9.7180147,2.2213740,-7.8854961,-7.0152674,-2.3822186,-0.0263361,10.7475166,-15.0610685,-25.0687027,-15.4427481
80,0.9768293,2.3439114,9.6749191,2.7709923,-9.1450386,-7.8778625,-2.2002602,-0.1005560,10.7427282,-13.1068707,-23.8167934,-13.9389315
90,0.7805058,2.5091105,9.5863342,2.8396947,-9.2213745,-7.7709923,-2.3127871,-0.1819584,10.6924505,-10.9541988,-20.4656487,-13.2519083
100,0.7900825,2.4564383,9.4355011,2.1526718,-9.2519083,-7.0076337,-2.3032103,-0.1723816,10.6110477,-9.5648851,-19.3053436,-11.9236641
110,0.7637464,2.3822186,9.3205795,1.0458015,-8.7404585,-5.8244276,-2.3151813,-0.1699875,10.6086531,-8.5648851,-19.4809170,-10.0916033
120,0.6751614,2.3846128,9.3780403,-0.3740458,-9.2366409,-4.2213740,-2.3079987,-0.2298422,10.4602137,-8.3053436,-20.9236641,-8.8015270
130,0.8044477,2.4372849,9.3876171,-1.3129771,-7.6870227,-2.2671757,-2.1380112,-0.1987177,10.4721851,-8.5801525,-22.6412220,-7.2595420
140,0.9504932,2.4037662,9.5432396,-2.8320611,-5.1450381,-0.8091603,-1.9943599,-0.2274480,10.3668404,-8.9923668,-23.5190830,-5.8320613
150,1.0031654,2.4061604,9.6414013,-3.2442749,-3.4885497,0.4885496,-1.9632354,-0.1987177,10.4266949,-9.5648851,-23.7175579,-4.9541984
160,1.1300575,2.3271523,9.8329363,-2.7709923,-1.5572519,1.0152671,-1.9823889,-0.3447633,10.7403336,-9.9465647,-20.8931293,-2.7404580
170,1.1420283,2.3415172,9.7730818,-2.3435113,-0.3893130,1.1068702,-1.7980363,-0.0215477,10.8959560,-7.1908398,-23.5725193,-1.6793894
180,1.2928623,2.3534882,9.6797075,-1.4274809,-0.8625954,0.3587786,-1.7884595,-0.1197095,10.7475166,-5.2061067,-25.5877857,-1.1832061
190,1.3790531,2.3582766,9.6749191,-1.0152671,-0.9770992,-0.7328244,-1.6879035,-0.1316804,10.6756907,-5.2748094,-24.4656487,0.6412213
200,1.2952565,2.3486998,9.6390066,-1.3664122,2.4122138,-1.7938931,-1.4556671,-0.2059003,10.8408899,-4.8091602,-23.4732819,0.8625954
210,1.1276633,2.3343346,9.6366129,-2.4351146,3.5190840,-2.0610688,-1.2425843,-0.1795642,10.7906122,-3.3664122,-22.1297703,0.4045801
220,1.0342898,2.3127871,9.5192976,-2.4198472,2.9770992,-2.3587787,-1.1755470,-0.1987177,10.7666702,-1.1679389,-17.9312973,0.6488550
230,0.8882443,2.3846128,9.6294298,-2.4274809,0.8625954,-2.9541984,-1.0558375,-0.1508339,10.5200682,1.0763359,-8.8244276,1.4580153
240,0.8786675,2.3965836,9.6653433,-1.9770992,-1.3893130,-2.5343511,-1.0654143,-0.1268920,10.3524752,0.2061069,-2.4580152,-0.8778626
250,0.7781116,2.3582766,9.6725254,-1.7175573,-1.7557251,-1.2824427,-1.1420283,-0.1675933,10.3740225,-0.6488550,-2.3740458,-1.8702290
260,0.7829000,2.3941894,9.5839405,-1.7557251,-1.0916030,-0.0763359,-1.3670821,-0.1268920,10.3931761,-1.7404580,-2.7099237,-3.0381680
270,0.9193687,2.3415172,9.6557665,-1.6641221,-0.6030535,1.3282443,-1.4365137,-0.2489957,10.5703468,-2.3893130,-2.5419848,-3.4198472
280,1.2952565,2.2744799,9.4139528,-6.2977099,5.0534353,1.4351145,-1.8626794,-0.1508339,10.6349897,1.0687023,-3.3358779,-0.1145038
290,1.2162483,2.1930776,9.5671806,-7.4427481,5.3816795,0.7175573,-1.5921360,-0.1580165,10.6900558,1.9160305,-3.4351146,0.8091603
300,1.0654143,2.1763182,9.8449068,-7.3740458,6.0076337,-0.1297710,-1.5274929,-0.1723816,10.6828737,3.0152671,-3.2137403,0.9083970
310,0.8188128,2.2768741,9.7754755,0.4732825,2.3664122,0.9312977,-0.9624642,-0.1867468,10.6565371,5.7022901,0.8244275,-3.5190840
320,0.8116302,2.3606708,9.5743637,1.1679389,0.7938932,0.8244275,-0.8427547,-0.1628049,10.6900558,6.4503818,2.8396947,-4.8625956
330,0.8666966,2.2481439,9.4929609,1.2519084,-1.7022901,-0.1221374,-0.9648584,-0.2130829,10.5440102,7.3129773,5.9236641,-6.1755724
340,0.9337339,2.2289903,9.5863342,1.3206106,-3.8320611,-1.3740458,-0.9959828,-0.1101327,10.6206245,8.2595415,9.4351149,-7.3587785
