timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,3.2967989,0.1101327,13.4697094,250.1297760,-250.1374054,-250.1374054,0.1436514,-0.4453192,10.5511932,-11.8320608,-1.0229008,-12.1450386
10,2.1930776,1.5658000,10.8624372,250.1297760,-250.1374054,-248.1603088,0.3758878,-0.7733232,10.7283630,-14.1068707,5.6717558,-20.8167934
20,1.8459201,2.5929072,9.6366129,250.1297760,-250.1374054,-231.9313049,-0.1795642,-0.9241571,10.7546988,-13.9618320,12.9923668,-25.5877857
30,1.4939742,3.5290353,7.8098459,250.1297760,-198.0229034,-208.4809113,-0.3184272,-0.6464311,10.5751352,-12.2290077,19.5496178,-28.2824421
40,1.2258250,4.6351509,5.3318601,250.1297760,-145.0534363,-188.9618378,-0.5674229,-0.5722113,10.2782555,-11.4351149,25.0076332,-30.2977104
50,-0.3088504,7.4507174,-5.9687142,167.2213745,-134.5496216,-160.2519073,-1.5298871,-0.6248835,10.6613255,-27.6641216,4.9847326,-39.1526718
60,-1.1683644,7.9463148,-7.7763271,131.8931274,-114.3740463,-151.5954132,-1.9345051,-0.7374104,10.4506369,-27.8778629,-10.6106873,-37.1297722
70,-2.5785420,8.2815018,-9.0524302,87.5725174,-83.3816757,-134.4427490,-1.6543850,-0.8068419,10.2806492,-33.6564903,-29.8167934,-35.6564903
80,-3.9767487,8.7004843,-9.7706871,39.0458031,-41.5267181,-108.4351120,-1.5897418,-0.8451489,10.1896706,-40.6259537,-38.2748108,-35.7328262
90,-6.3182659,9.1458035,-10.6397781,-58.6030540,41.1832047,-36.6946564,-1.6112895,-1.1013272,10.4123297,-47.0839691,-28.0152664,-26.5648861
100,-6.3398137,8.8944139,-10.4530315,-106.7251892,65.4503784,4.0763359,-1.4317253,-1.0414724,10.4410601,-43.5038185,-22.1145039,-17.4045811
110,-5.7245069,8.6286592,-9.7587166,-153.2442780,78.9618301,39.0839691,-1.5059452,-1.0055596,10.3476868,-39.8854980,-0.4503817,-14.0000000
120,-4.8913293,8.0085640,-8.4682484,-196.5267181,95.3435135,67.8778610,-1.9704180,-1.0941446,10.6038647,-34.5954208,11.4351149,-9.7175570
130,-4.3406653,7.1227136,-6.8761120,-233.7099304,111.9847336,92.5114517,-2.0350611,-1.0295014,10.7139978,-29.3664131,21.7709923,-3.8549619
140,-4.0174499,6.0453281,-4.5896611,-250.1374054,124.1221390,117.1450348,-2.0829449,-1.0151364,10.9486284,-25.6030540,30.6335869,2.5267177
150,-2.9328821,4.7883787,-2.3151813,-250.1374054,126.6717529,136.4045868,-2.0374553,-1.1563935,11.0420017,-21.3435116,34.1450386,7.0305343
160,-1.5993185,4.2329268,1.0151364,-250.1374054,100.5419846,149.7022858,-2.0590029,-1.2832855,10.8384953,-16.9312973,35.1297722,10.1221371
