timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,3.9528067,11.5735121,3.2249732,6.3358779,-47.0687027,125.4427490,-0.3471575,1.1300575,11.4298601,6.0152674,-10.9541988,-21.8473282
10,5.2887645,11.3700056,4.8123207,-0.0458015,-50.5267181,112.6717529,-0.4644727,1.1635761,11.2790270,11.5725193,-11.3282442,-24.1221371
20,5.5832496,10.9582052,5.9567432,2.4045801,-33.7099228,94.0687027,-0.4716553,1.2784972,10.9701757,14.2900763,-11.0152674,-27.5648861
30,4.6447277,10.9821472,6.1243367,4.4045801,-5.9541984,84.6946564,-0.5243275,1.5011568,10.7762470,14.9923668,-11.3053436,-30.0534344
40,4.0054789,10.8696203,5.7915444,6.9770994,9.3969469,71.8625946,-0.7134684,1.6304430,10.7163916,15.2900763,-12.5038166,-33.5572510
50,2.9017577,10.4554253,5.4731169,4.6488547,15.5572519,63.2290077,-0.8714849,1.7094513,10.4578199,14.5038166,-13.7099237,-36.7938919
60,2.3151813,10.1274214,5.3534074,2.8244274,25.6183205,61.3206100,-1.1683644,1.8387375,10.4195127,13.1984730,-14.9541988,-38.3664131
70,2.1020982,9.5264797,5.3055239,0.9465649,29.9160309,63.5038185,-1.4341195,2.0015423,10.4123297,11.7938929,-16.6870232,-39.2748108
80,1.7286048,9.4642305,4.6112089,-2.5343511,27.4503822,64.1908417,-1.5849534,2.0925217,10.3979645,10.9770994,-17.7175579,-39.1221390
90,1.3862357,9.1697454,4.4627690,-6.9618320,10.5877867,62.0992355,-1.6615674,2.1260402,10.3835993,10.3435116,-18.7633591,-38.6106873
100,1.3742647,8.5304966,4.9416070,-9.1908398,-8.1145039,61.3664131,-1.6615674,2.1427996,10.3716288,10.2900763,-19.1145039,-38.2748108
110,1.4796091,8.5257082,5.4707227,-4.2137403,-15.9083967,60.2290077,-1.6950861,2.0925217,10.2710724,9.7251911,-19.5267181,-38.7099228
120,2.4516499,8.2288294,5.9136481,3.0687022,-16.0534344,56.7633591,-1.6807210,2.2409613,10.2351599,7.6717558,-21.2213745,-39.1145020
130,3.1675127,8.3245964,5.8370337,12.0458012,-9.4580154,45.5190849,-1.8914096,2.0590029,10.6206245,7.4732823,-22.6183205,-37.8473282
140,2.5450234,8.4155760,5.2073622,17.5190830,-3.1297710,31.6717548,-1.7573351,2.1236460,10.6110477,7.8396945,-23.5572510,-36.8625946
150,2.8012016,8.5448618,5.0014620,19.8778629,-4.8091602,17.6335869,-1.6376256,1.9871773,10.6421719,7.0687022,-25.3358784,-37.3358765
160,2.3199697,7.5129666,3.8402798,7.6183205,22.7099228,-3.0839694,-1.5011568,1.8267666,10.7044210,6.6259542,-28.1984730,-36.3740463
170,1.9512644,7.3836803,3.4141142,-3.8625953,44.7709923,-4.1755724,-1.3670821,1.7932479,10.8552551,7.9083967,-29.4580154,-37.7938919
180,0.6009415,7.0604649,3.0430148,-14.0916033,69.3816757,-2.1221373,-1.2593436,1.7621235,10.7403336,8.5114508,-31.7480907,-38.5954208
190,1.0151364,7.0269461,2.8873925,-22.6717548,72.2061081,1.0305344,-1.1947005,1.5873476,10.5176744,8.6870232,-32.9694672,-38.6641235
200,-0.0478838,6.9455438,2.6910689,-34.6183205,81.1221390,6.9083967,-1.1252691,1.5203103,10.5200682,8.9465647,-33.6488533,-39.3587799
210,0.0502780,7.0437055,3.3494711,-45.5496178,80.5877838,20.2213745,-0.9576758,1.5059452,10.2974091,8.5648851,-34.2366409,-40.5725174
220,1.4676381,7.4387465,3.5721307,-54.1068687,85.3358765,26.3435116,-0.8044477,1.4700323,10.3045912,7.6183205,-34.2900772,-42.7633591
230,1.9081690,7.7140784,3.8474624,-59.7786255,87.8931274,24.4961834,-0.6584021,1.4604555,10.1465750,6.1908398,-33.5801544,-46.3816795
240,2.0781565,8.1546097,4.4005203,-62.5419846,71.3053436,21.1679382,-0.7565638,1.5083394,10.3500814,5.1755724,-33.5190849,-50.8854980
250,2.2577207,8.0181408,5.0254035,-60.5267181,49.2748108,15.4580154,-1.0965388,1.5873476,10.3189564,4.3358779,-34.5114517,-55.2442741
260,2.2625091,7.6398587,5.9375896,-53.3740463,26.7862587,9.7099237,-1.4101776,1.8124014,10.3500814,2.6641221,-37.3587799,-58.5648842
270,2.3103929,7.4459291,6.7635851,-40.9541969,0.7404580,5.4198475,-1.8171898,1.9297167,10.3428984,0.3587786,-41.7633591,-60.6717567
280,1.9584470,7.2424231,6.8042865,-28.6488552,-22.9923668,4.7709923,-2.0494261,2.1308286,10.4195127,-2.6946564,-46.4961815,-61.7251892
290,2.0087249,7.6542239,6.9431496,-18.3740463,-37.3893127,5.4351144,-2.1547706,2.2409613,10.7355452,-5.3969464,-49.4503822,-62.5725174
300,1.8961980,7.5393028,7.0245519,-10.3282442,-47.7022896,7.6335878,-2.3582766,2.2696917,10.9534168,-6.5801525,-51.0458031,-61.7633591
310,2.0781565,7.4938130,6.8138633,-5.6717558,-52.6412201,12.0229006,-2.3798244,2.2649033,11.0803089,-5.4656487,-51.8702278,-60.6641235
320,1.9967541,7.9151902,6.8569584,-3.3435113,-46.6564903,17.9618320,-2.4636209,2.4947455,11.2790270,-2.8931298,-51.0687027,-59.1374054
330,2.3151813,7.8122401,6.5840211,-4.3969464,-49.3206100,20.3969460,-2.6240315,2.6336083,11.4346485,0.4732825,-49.5572510,-57.7557259
340,2.6288199,8.0779953,6.4116392,-5.7862597,-46.5648842,20.3206100,-2.6838863,2.7916248,11.5352049,5.0458016,-48.1374054,-55.4122124
350,3.4093258,8.4131813,6.8186517,-5.6946564,-42.3893127,18.4885502,-2.8442972,3.0047078,11.5759058,10.4274807,-46.7251892,-52.0000000
360,4.1132174,8.6813307,7.6207051,-2.4351146,-30.5648861,13.3511448,-2.9185169,3.1651185,11.3676119,16.9618320,-44.4045792,-46.6717567
370,4.4867110,8.5209198,7.7954807,6.2366414,-15.1603050,4.2442746,-2.8107784,3.3039815,11.1688938,23.6793900,-41.9465637,-40.9083977
380,4.3119354,8.3533268,8.0325060,15.2213745,-4.0534353,-4.3129773,-2.7054341,3.5386121,10.7690639,29.0076332,-37.8320618,-35.1374054
390,3.4572096,8.4610653,7.5297260,23.1832066,2.9389312,-11.4809160,-2.5067163,3.6295912,10.3548698,31.9541988,-34.7786255,-28.9847336
400,3.1220231,8.7292147,7.0437055,28.3664131,-0.0458015,-18.5801525,-2.2936335,3.8307030,9.9310980,31.8625946,-35.1068687,-22.9007626
410,2.4396791,8.7747040,7.4674768,33.1908379,3.7709923,-19.9694653,-2.0111191,3.9480183,9.5336628,29.0610695,-39.1450386,-19.4503822
420,1.9153515,8.7651272,7.5800037,39.2671738,-0.2595420,-16.6106873,-1.7597293,4.0413918,9.2559366,24.6335869,-48.2519073,-15.9923668
430,1.8507085,8.7100611,7.6278877,49.8702278,-6.6564884,-17.3969460,-1.6136837,4.0844874,9.2128410,18.3816795,-61.2442741,-13.0076332
440,2.2194135,8.7507620,7.5560617,58.8320618,-12.4427481,-19.1755733,-1.1947005,4.2975702,9.2870607,13.7175570,-69.9083939,-9.4427481
450,2.3151813,8.7316093,7.0269461,66.4274826,-17.9694653,-22.0152664,-0.5267217,4.2448978,9.3445215,12.4274807,-69.7099228,-5.1603055
460,2.9568241,8.7100611,6.4307928,68.3740463,-12.3587790,-25.3664131,0.0814024,4.0461802,9.4977493,16.3435116,-61.4885483,-2.4580152
470,3.7876077,9.0931320,5.2743993,64.7557220,-11.5801525,-33.4274826,0.5458752,3.9144998,9.3229742,21.8702297,-51.5572510,-0.5954198
480,3.0166788,9.7658987,4.1754665,49.2519073,2.2748091,-55.7557259,1.0055596,4.0629396,8.6382351,30.5801525,-24.4809170,5.4732823
490,2.8012016,9.5121145,4.0030847,43.7022896,2.7709923,-64.0152664,0.9145803,4.0629396,8.4107876,30.5190830,-9.9923668,8.8244276
500,2.0781565,9.4738073,4.3478479,42.8854980,-0.4503817,-71.6870193,0.6057299,3.9001346,8.2599535,26.8091602,2.7022901,13.2442751
510,2.5402350,8.3772688,4.5561423,41.4580154,-20.5725193,-78.5190811,0.4620786,3.7852135,8.5233145,18.8396950,10.5190840,17.9770985
520,0.3351865,9.2056589,3.5003049,28.9847336,-59.7633591,-90.5725174,1.1348459,2.3343346,11.1760759,-12.9007635,-8.9007635,12.7938929
530,-2.8442972,11.0635490,4.0701222,29.1145039,-30.6106873,-76.0381699,1.4053892,2.0206959,11.9206696,-14.8320608,-14.3053436,4.8625956
540,-2.2433555,10.3117743,4.6758518,32.7175560,-31.3740463,-49.5038185,1.3455344,1.7788827,12.4856977,-13.1679392,-15.7786255,-3.1526718
550,-1.1803354,9.3421268,4.3310885,36.0228996,-21.7328243,-29.2137413,0.9265513,1.6304430,12.7921543,-7.3587785,-15.6106873,-11.0916033
560,-0.2753318,8.8273764,4.3478479,39.0839691,-24.3664131,-22.3358784,0.4692611,1.6208663,13.1201582,1.4961832,-16.7099228,-17.7022896
570,0.0957676,9.2200232,3.9839313,40.7480927,-30.0916023,-23.5725193,-0.1628049,1.8507085,13.0579090,11.0000000,-17.0916023,-21.6106873
