timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,1.7262106,3.0908985,9.4785957,2.3358779,-5.0916033,4.6106873,-4.9200592,2.2242019,9.6916790,-33.0076332,-18.1526718,-10.0992365
10,1.8052188,3.1387823,9.3014259,0.4503817,-3.5572519,1.6488550,-4.2377152,2.1212518,9.4474716,-11.6870232,-8.9847326,-7.5419846
20,1.9871773,2.9759774,9.4857788,-0.9007633,-1.4656489,-1.2290076,-4.0940638,1.9177457,8.8177996,-15.7404585,-6.8854961,-16.8702297
30,2.0446377,2.9161227,9.4714136,-0.6793893,-1.3587786,-1.5954199,-3.9384418,1.8339491,8.8417416,-19.9694653,-9.3587790,-18.6564884
40,1.9368993,2.8562679,9.4594421,-0.4122137,-0.5725191,-2.0000000,-3.9408360,1.7357874,8.9183559,-24.0076332,-12.9465647,-20.5572510
50,1.8842272,2.9424589,9.5312681,0.2061069,-0.8854962,-1.8091604,-4.0749106,1.7190280,9.0811605,-27.0076332,-14.9312973,-22.1450386
60,1.7549409,2.8802099,9.5576038,0.9541985,-0.6412213,-1.9389313,-4.2951760,1.6232605,9.2296000,-29.0000000,-16.5877857,-23.5801525
70,1.7501525,3.0047078,9.4283180,1.4961832,-0.9618320,-1.6488550,-4.3358769,1.6711442,9.3086090,-30.2366409,-17.1908398,-23.5343513
80,1.7621235,3.0358322,9.4307127,2.0152671,-0.7251908,-1.3587786,-4.5250182,1.5514348,9.3804340,-30.8702297,-17.2061062,-21.9312973
90,1.7357874,3.1651185,9.3181858,2.0610688,-0.6870229,-0.9923664,-4.4747400,1.4580613,9.5073261,-30.4732819,-17.3435116,-21.5267181
100,1.8100072,3.1507533,9.2463598,2.0458016,-1.1755725,-1.1755725,-4.5010762,1.4006008,9.4833841,-29.8091602,-17.1068707,-20.8625946
110,1.9536586,3.1818779,9.1481981,1.9541985,-2.9160306,-1.9618320,-4.5298066,1.3838415,9.5504217,-29.3129768,-17.2213745,-19.0381680
120,2.3439114,3.3949606,9.1051025,0.9541985,-1.1908396,-4.3129773,-4.4986820,1.4269369,9.3469152,-28.5877857,-17.5877857,-18.4122143
130,2.2816625,3.3805954,9.0907373,-0.8396947,0.3587786,-7.7862597,-4.3239059,1.3168042,9.2176294,-29.3969460,-16.6412220,-17.6259537
140,2.3439114,3.4141142,9.0715837,-2.1908398,-0.5343512,-10.9923668,-4.3071470,1.2234308,9.2128410,-30.3893127,-16.9465656,-16.5954189
150,2.3846128,3.3111639,9.0835552,-3.1679389,-1.3664122,-14.1221371,-4.2233500,1.1587877,9.1098909,-32.5419846,-17.9083977,-15.9083967
160,2.4995339,3.3207407,9.0811605,-4.2137403,-1.7786260,-18.1145039,-4.2041965,1.1683644,9.1553802,-34.8778610,-18.6793900,-16.1374054
170,2.6264257,3.3159523,9.1912937,-3.7175572,-4.0458016,-21.1450386,-4.0796990,1.1085097,9.1434097,-37.9083977,-19.8091602,-17.0305347
180,2.7509236,3.4596038,9.0644016,-5.0305343,-0.5419847,-25.8778629,-4.0126615,1.0151364,9.0093346,-40.9312973,-21.0305347,-18.3587780
190,2.6192431,3.3686244,8.9877872,-7.1068702,3.1603053,-30.7404575,-3.9791429,0.9145803,9.1003141,-44.3282433,-23.1297703,-19.6106873
200,2.7365584,3.2632802,9.0907373,-6.2900763,-4.5343513,-31.7938938,-4.0030847,0.8212070,9.3014259,-47.5496178,-24.7022896,-21.3664131
210,3.4835455,3.3087699,8.9446917,-4.5877862,-2.1755726,-37.9389305,-4.0940638,0.6775556,9.5576038,-49.6946564,-26.4961834,-21.5267181
220,3.4069316,3.3710186,8.9375095,-6.0076337,5.3969464,-47.4503822,-4.2377152,0.6105183,9.8544836,-50.2061081,-27.0534344,-21.4580154
230,2.5330524,3.3063757,8.5927458,-12.1603050,-1.0381680,-54.6793900,-4.1347651,0.5147507,9.9670105,-48.5496178,-29.7862587,-20.4198475
240,1.9225341,3.2034254,8.8106174,-18.4274807,-10.8015270,-56.5725174,-3.9073172,0.3447633,10.0268650,-45.8473282,-29.4198475,-20.7328243
250,1.6998745,2.8945751,9.1649570,-20.0381680,-12.6030531,-56.5038185,-3.8426740,0.4094064,10.0555954,-42.0381660,-26.7557259,-20.7938938
260,1.1468167,2.6024840,9.4666252,-19.0763359,-11.2213745,-55.2671738,-4.0629396,0.2035061,10.1705170,-39.1297722,-23.1755733,-19.9160309
270,0.6895266,2.6479735,9.6653433,-19.0000000,-9.9312973,-51.3358765,-4.2257442,0.1556223,10.2136126,-36.7938919,-19.9083977,-18.2442741
280,0.4237715,2.6431851,9.8880024,-17.5801525,-6.8702292,-45.4961815,-4.0749106,0.1149211,10.1968527,-34.1526718,-18.4045811,-15.9847326
290,0.3878587,2.6192431,9.9310980,-14.9160309,-4.1526718,-39.7175560,-3.8067613,-0.0071826,10.2758608,-31.5496178,-18.4045811,-14.3435116
300,0.3280039,2.6455793,9.9334917,-12.1679392,-2.6106870,-34.5648842,-3.7421181,-0.0574605,10.0651722,-29.5343513,-14.3358774,-13.7099237
310,0.1963235,2.4947455,9.7706871,-9.9465647,-1.7251909,-29.0076332,-3.8857694,-0.0670373,10.2758608,-27.5877857,-10.1908398,-12.1526718
320,0.1987177,2.5426292,9.7778702,-8.3816795,-2.9770992,-23.7099228,-3.8857694,-0.1149211,10.2638903,-25.2824421,-7.9312978,-9.8167934
330,0.2681492,2.4851687,9.7802639,-6.4809160,-3.4045801,-18.7175579,-3.6918402,-0.0646431,10.2782555,-22.0458012,-6.2748094,-9.6564884
340,0.1388630,2.4564383,9.8880024,-3.6793892,-1.6946565,-14.3893127,-3.7133877,-0.1508339,10.1824875,-18.8931293,-4.9541984,-9.3969469
