timestamp,rxacclX,rxacclY,rxacclZ,rxgyroX,rxgyroY,rxgyroZ,txacclX,txacclY,txacclZ,txgyroX,txgyroY,txgyroZ
0,2.6096666,5.9232249,-2.1020982,-36.2748108,-18.2366409,47.2824440,6.7707677,6.6510582,4.8506279,-2.6946564,6.7099237,24.4351139
10,2.9041519,6.4092450,-1.8531027,-65.2519073,-24.7786255,38.0000000,7.6853480,6.1698260,5.2743993,8.3664122,-4.5648856,25.2137413
20,2.6312141,6.6486640,-2.1427996,-71.8396912,-40.3893127,37.5038185,7.8720951,5.8561873,5.0277977,14.8931293,-11.3969469,24.0381680
30,2.6024840,7.0389171,-2.2385671,-78.0305328,-56.3053436,40.4351158,8.1474266,5.9184365,4.5130472,19.3511448,-17.8625946,21.2824421
40,2.7652888,11.1497402,-1.0510491,-77.7480927,-89.0457993,45.4427490,8.8632889,6.5983863,2.4923513,10.8320608,-44.4732819,1.6946565
50,2.5450234,12.3588057,-0.8331779,-59.8473282,-102.5954208,55.9465637,8.4467001,6.8665352,2.0087249,-4.1908398,-64.2900772,-11.7328243
60,3.4787574,13.1871958,-0.4908088,-50.5648842,-105.9847336,60.4885483,8.3581152,7.0437055,1.8770446,-10.0305347,-68.9923630,-16.0076332
70,3.7612717,13.1776190,-0.1268920,-36.6946564,-101.0381699,60.5190849,8.0779953,7.3046722,1.7764885,-14.7175570,-71.3587799,-19.0381680
80,3.5434003,13.1010046,-0.6703730,-27.2977104,-93.5114517,62.0000000,7.8266053,7.3669209,1.6112895,-18.6183205,-73.6488571,-20.7709923
90,2.7820482,12.6963863,-1.2689204,-20.3893127,-91.3587799,64.6717529,7.6973190,7.5249376,1.3766589,-20.3282452,-72.4503784,-22.5496178
100,1.7549409,12.1696653,-1.6495966,-13.4580154,-101.5190811,71.9618301,7.4219875,7.6254935,1.3527170,-21.1984730,-67.2213745,-22.6641216
110,0.6153067,11.3939476,-1.7118455,-4.2290077,-120.8625946,85.6717529,7.1059542,7.7452030,1.3742647,-22.6870232,-61.7557259,-21.1832066
120,0.1268920,11.0252428,-1.7645177,6.6946564,-142.8167877,103.8625946,6.9239960,7.5800037,1.8195840,-24.0458012,-61.0763359,-19.4198475
130,0.1364688,10.7834291,-1.6256547,21.2824421,-165.5190887,121.6412201,6.8737178,7.4746594,2.1140692,-23.3893127,-62.5572510,-18.2213745
