Number, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ
12386, 9.2774839, -17.6451759, -0.7230452, -46.2213745, 40.4198456, 98.4809189
12387, 14.5806141, -19.6131992, -0.3615226, -60.4045792, 88.4351120, 68.2977066
12388, 18.9045200, -19.6131992, 0.2992737, -84.4427490, 97.1450348, -1.2061069
12389, 19.4551830, -19.6131992, 0.7445929, -119.6564865, 69.0916061, -96.5343475
12390, 17.1854916, -19.6131992, 2.5210814, -164.6946564, 13.3664122, -195.5877838
12391, 14.3100700, -19.6131992, 6.3637557, -213.8854980, 9.3206110, -250.1374054
12392, 6.6893654, -19.6131992, 9.6126709, -250.1374054, 73.7709961, -250.1374054
12393, -8.5017672, -19.6131992, 13.7857428, -250.1374054, 113.3053436, -250.1374054
12394, -19.6131992, -19.6131992, 19.6126022, -250.1374054, 98.9007645, -250.1374054
12395, -19.6131992, -19.6131992, 19.6126022, -195.9847260, 56.5190849, -137.7938995
12396, -19.6131992, -17.5853214, 19.6126022, -68.9465637, -9.3358774, 45.5267181
12397, -13.4194317, -13.6803989, 19.6126022, 48.9236641, -38.8396950, 180.2061005
12398, 0.9888002, -12.4473906, 17.0801468, 122.5343475, -19.1755733, 245.3053436
12399, 12.1720591, -11.0563669, 9.1027079, 145.1221313, 8.4274807, 246.9389343
12400, 18.3299141, -10.2686787, 4.5226240, 134.5954132, 21.8473282, 199.1450348
12401, 18.1527443, -11.0108776, 3.4117200, 123.4198456, 12.4809160, 133.2977142
12402, 13.4361916, -11.4801388, 3.4739690, 128.8091583, -26.2671757, 78.8091583
12403, 8.5783806, -11.3963413, 3.5912843, 143.4656525, -64.8015289, 54.7938919
12404, 5.6119800, -9.9263096, 3.2465210, 158.8702240, -76.2824402, 58.3587799
12405, 4.1730723, -8.2431946, 2.1380112, 164.5419922, -62.3587799, 74.7938919
12406, 3.5481887, -5.6502872, 0.6775556, 154.5954132, -43.6335869, 92.5038147
12407, 4.4268565, -2.3558824, 0.0957676, 130.1068726, -22.5877857, 101.0381699
12408, 6.8186517, -0.5458752, 0.1029501, 96.2748108, 14.6946564, 96.5038147
12409, 8.6645718, 0.1963235, 0.4189832, 56.5648842, 74.7480927, 75.6412201
12410, 7.4387465, 1.1372399, 1.2401901, 21.5038166, 106.3893127, 49.5725174
12411, 5.8537931, 1.4724265, 2.9472473, 1.7099236, 89.3587799, 21.2595425
12412, 3.3710186, 1.2354017, 5.5784616, -4.0381680, 66.1450348, -0.4122137
12413, 0.7541697, 1.9991482, 7.7021074, 8.1832066, 26.7786255, -7.7862597
12414, -0.6368544, 2.6479735, 8.8992023, 28.0381680, -10.7862597, -8.7099237
12415, -0.3639168, 3.0741394, 8.8154058, 41.7480927, -37.3816795, -7.8473282
12416, -0.1221037, 3.0621684, 7.9056134, 40.5648842, -41.2595406, -7.6488547
12417, 0.3687052, 2.9759774, 6.8832946, 23.1297703, -23.8244267, -0.0610687
12418, 1.2904681, 2.8706331, 7.1083484, -2.2213740, 7.4122138, 10.8473282
12419, 1.4915800, 3.3470769, 7.8050575, -27.1526718, 33.2671738, 21.1832066
12420, 2.0518203, 4.0102673, 8.2886839, -48.4045792, 53.6106873, 30.4580154
12421, 2.2457497, 4.9583664, 9.6964674, -64.4045792, 62.3511467, 33.0992355
12422, 1.1539993, 5.8011212, 11.8057480, -66.8702316, 48.8396950, 26.6564884
12423, 1.5921360, 5.8801293, 12.6532917, -52.6870232, 21.5267181, 12.8473282
12424, 1.9728121, 4.9032998, 12.7897596, -29.6870232, 2.7404580, -2.2824428
12425, 1.8435259, 4.5010762, 11.9661589, -17.0152664, -1.1603054, -11.6030531
12426, 1.2784972, 4.7237358, 11.5208397, -13.9618320, 8.0229006, -12.4656487
12427, 0.7924767, 5.3222833, 11.0898857, -12.8625956, 19.8854961, -6.9236641
12428, 0.4812321, 6.1626434, 11.0755205, -11.4274807, 33.7251892, -1.4503816
12429, 0.0215477, 6.6821828, 11.2215662, -10.1221371, 41.4045792, 1.3893130
12430, -0.6631905, 7.0101867, 11.5639353, -5.2213740, 36.8320618, 2.1526718
12431, -0.6703730, 6.7324610, 11.6836443, 2.2519083, 24.4198475, 1.8167939
12432, -0.6967092, 6.4643116, 11.6094246, 7.0916033, 13.7328243, 2.6183207
12433, -0.1604107, 6.5935979, 11.5280218, 9.3740454, 9.7099237, 5.6030536
12434, 0.5913648, 6.6342988, 10.9438400, 7.7175574, 11.7786255, 7.3129773
12435, 1.1539993, 6.9072366, 10.3285332, 0.7251908, 17.7786255, 6.0687022
12436, 1.3311694, 6.8521700, 10.2782555, -8.1984730, 23.6564884, 2.8549619
12437, 1.1611819, 6.6390872, 10.4482431, -15.8091602, 25.1908398, -1.3206106
12438, 0.8068419, 6.1003947, 11.1042509, -18.7862587, 24.4732819, -7.1145039
12439, 0.3806761, 5.2935529, 11.5399933, -14.3587790, 17.3053436, -12.4122133
12440, 0.1101327, 4.6016321, 11.4921093, -6.8091602, 7.6717558, -16.3053436
12441, -0.2106887, 4.1874375, 11.2909975, -0.5801527, 0.2900763, -18.0763359
12442, -0.4644727, 3.6966286, 10.8696203, 2.2137403, -1.0610687, -17.1297703
12443, -0.7709290, 3.2920105, 10.5320396, 1.1832061, 0.4885496, -12.3969469
12444, -0.7924767, 3.1124463, 10.2184010, -2.0687022, 4.9236641, -5.5419846
12445, -0.6392486, 2.9831600, 10.1417866, -7.1297708, 9.6030531, 0.5267175
12446, -0.4070122, 2.7461352, 10.1393919, -12.1450386, 12.7557249, 4.1679387
12447, -0.3471575, 2.4899571, 10.6589317, -14.1221371, 11.1221371, 5.3664122
12448, -0.1771700, 2.2864509, 10.9438400, -9.7175570, 4.6793895, 5.0687022
12449, 0.2609667, 2.0853391, 10.9989061, -1.1984733, -2.8625953, 3.3587787
12450, 0.5003856, 2.0781565, 10.6565371, 5.6412215, -4.8167939, 1.2900764
12451, 0.4908088, 2.1691356, 10.0651722, 7.9847326, -1.4809160, -0.7099237
12452, 0.1532281, 2.2218077, 9.7204094, 6.2519083, 0.9694657, -2.2900763
12453, -0.0766141, 2.0542145, 9.7539282, 4.3435116, -1.7786260, -2.9465649
12454, -0.1867468, 2.0087249, 9.7395630, 3.9160306, -6.2290077, -3.3816793
12455, -0.0957676, 2.0063307, 9.6916790, 3.9847329, -10.3740454, -2.9923663
12456, 0.2585725, 1.8052188, 9.8185711, 3.2671757, -9.5419846, -2.6946564
12457, 0.2537841, 1.6687500, 9.7898407, 1.0763359, -4.2213740, -1.7251909
12458, 0.0670373, 1.5825592, 10.0603838, -0.9923664, 0.3587786, 0.4656489
12459, 0.0885850, 1.4460905, 10.3357162, -0.8549618, 3.8931298, 3.2748091
12460, 0.1316804, 1.4053892, 10.2495251, 0.6030535, 6.3740458, 5.6412215
12461, 0.2657550, 1.4939742, 10.0077124, 0.3893130, 9.3587790, 7.2977099
12462, 0.4501076, 1.5490406, 9.8592720, 0.0076336, 10.7557249, 7.6946564
12463, 0.5099624, 1.5035510, 9.6629486, -0.5572519, 8.0687027, 6.6870227
